Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9.sql	1763	0	1086	165	0	917	0	0	0	0	0	0	0	0	319404	0	0.0011751379152404847	0.3443528297881261	1.0000484149795081
8.sql	685	0	112	6	0	108	0	0	0	0	0	0	0	0	2603	0	0.012322485369789901	0.5865624314403247	1.0001934083045578
7.sql	1687	0	247	8	0	235	0	0	0	0	0	0	0	0	5924	0	8.243451028240704E-4	0.8863159046432304	1.0000551579206431
6.sql	491	483	247	5	483	235	0	0	0	0	0	0	0	0	5924	0	8.243451028240704E-4	0.8863159046432304	1.0000551579206431
5.sql	1561	132	1418	4	108	1410	1493701	0	3174721	0	783190352	849	22	12	7243	6349	2.565492102963938E-4	0.35730956227754435	1.8001908784527871
4.sql	1018	642	42	11	134	38	110043	0	167418	0	145275	17506	3	1	52523	334	0.0162808882850565	0.521092970207986	1.0
3.sql	962	793	122	44	205	94	208285	0	397669	0	1448595	149768	6	3	30519	796	0.00875740103980615	0.8011484699629579	1.000357297302095
21.sql	1980	1464	241	4	165	240	307348	0	584664	0	60261502	12574	12	8	4141	1169	0.0037709354924247165	0.2081964023426188	1.9896830469053814
20.sql	1058	1	3	1	0	3	1290	0	2462	0	192104	417	6	3	263	5	0.2194297347583359	0.6459542505974736	1.8135869192525287
2.sql	207	34	24	1	8	24	5459	0	11060	0	109371	1078	17	8	460	23	0.14027473540131424	0.9047066565002317	1.202087730791504
19.sql	469	167	289	1	143	288	200356	0	614922	0	444526	141979	4	2	121	1230	0.005816717708518297	0.6965851383310642	1.000769672119677
18.sql	719	0	4	6	0	4	1854	0	3246	0	5091	484	8	5	399	6	0.13935015988202268	0.49597386106954594	1.0002568291154375
17.sql	1722	37	6	1	6	6	1679	0	8494	0	194878	364	6	4	587	17	0.15395282877251013	0.6497127134789473	1.0012864915979514
16.sql	441	59	80	278	56	67	148284	0	326129	0	118596	236778	5	2	118274	652	0.009679926449704196	0.6133178797596945	1.00023125
14.sql	277	207	53	15	197	43	152428	0	228744	0	105	199	4	2	75983	457	0.012857892296058786	0.571917808219178	1.00105
12.sql	241	201	24	13	197	19	62536	0	93929	0	3	250	4	2	30988	187	0.025914321045457083	0.5139654648099862	1.000166
11.sql	80	0	27	23	0	19	64725	0	97657	0	2740088	0	8	4	31680	195	0.024726118578900568	0.7797457232871776	1.99697625
10.sql	723	453	156	112	143	123	286891	0	505764	0	1085849	23881	10	6	114705	1011	0.0065714109651002295	0.5543599551947785	1.0009417051307192
1.sql	2300	362	156	1935	362	123	0	0	0	0	0	0	0	0	114705	0	0.0065714109651002295	0.5543599551947785	1.0009417051307192
