Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9.sql	2013	0	1546	137	0	1284	0	0	0	0	0	0	0	0	979921	0	4.4775929453757954E-4	0.522264559677371	1.0000271409510892
8.sql	304	0	121	6	0	119	0	0	0	0	0	0	0	0	7644	0	0.005082089094137582	0.5808901440768404	1.0000332902451745
7.sql	956	0	309	7	0	305	0	0	0	0	0	0	0	0	17331	0	1.0958704762889347E-4	0.25120019912157443	1.0000242747114785
6.sql	996	989	309	5	989	305	0	0	0	0	0	0	0	0	17331	0	1.0958704762889347E-4	0.25120019912157443	1.0000242747114785
5.sql	1576	272	1299	3	242	1297	4202764	0	8934222	0	2213528986	422	14	9	22028	17869	8.705248330311917E-5	0.35724119820586414	1.8000060011305463
4.sql	1763	997	63	39	287	59	331350	0	504180	0	436901	52933	3	1	158414	1008	0.006664367540799512	0.5916955017301039	1.0
3.sql	1276	1049	171	55	404	164	621625	0	1187418	0	4346868	449300	6	3	90026	2375	0.0032032248910746188	0.6665435916452992	1.0001198235092423
21.sql	3443	2156	435	4	370	435	1376611	0	2750604	0	181703872	41899	13	9	12426	5501	0.0012860797286975278	0.8528708376754038	1.0000266926639334
20.sql	2287	1	2	1	0	2	2567	0	4911	0	1554690	1276	6	3	741	10	0.20946239864579877	0.7186175415715683	1.9494305344673404
2.sql	308	42	22	1	3	22	19070	0	38728	0	855271	2453	18	8	1419	77	0.04774201621400897	0.5785435355644123	1.201244714458247
19.sql	434	258	170	0	193	170	600623	0	1844572	0	1334404	425179	4	2	364	3689	0.002200444811411722	0.6338582677165354	1.0002562302780331
18.sql	1300	0	2	3	0	1	2838	0	4488	0	10379	538	9	5	1253	9	0.18564402527991936	0.6581575077926097	1.0000710564244013
17.sql	3694	42	4	0	4	4	3063	0	22008	0	570431	754	6	4	1632	44	0.0812730507103559	0.5921881645108488	1.0
16.sql	739	27	104	600	24	93	445322	0	979453	0	356472	711632	5	2	355733	1959	0.0038634315653795033	0.6865644836242196	1.0000770833333332
14.sql	694	600	81	12	587	60	449704	0	674660	0	123	194	4	2	224637	1349	0.005207247846677743	0.6007194244604317	1.0003466666666667
12.sql	309	268	26	13	262	24	186823	0	280358	0	3	249	4	2	93144	560	0.010704388506606361	0.5369774919614148	1.0000551111111111
11.sql	75	0	33	15	0	22	193638	0	291296	0	9111128	0	8	4	95680	582	0.010526744114267135	0.6636636879639406	1.9991454166666667
10.sql	1028	697	176	154	416	145	861431	0	1519204	0	3136496	71770	10	6	344528	3039	0.0027233347499566758	0.811206890203804	1.0002622527083858
1.sql	3812	939	176	2871	939	145	0	0	0	0	0	0	0	0	344528	0	0.0027233347499566758	0.811206890203804	1.0002622527083858
