Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9.sql	2553	0	1025	170	0	910	0	0	0	0	0	0	0	0	319404	0	0.0011809341636138595	0.33740792128213426	1.0000624963219948
8.sql	609	0	99	6	0	95	0	0	0	0	0	0	0	0	2603	0	0.012547966290245014	0.6452353686723766	1.0003489350170247
7.sql	678	0	237	8	0	224	0	0	0	0	0	0	0	0	5924	0	3.67032726026445E-4	0.2512110893716805	1.0001732578595715
6.sql	499	492	237	4	491	224	0	0	0	0	0	0	0	0	5924	0	3.67032726026445E-4	0.2512110893716805	1.0001732578595715
5.sql	1074	146	918	4	125	910	1395000	0	2965312	0	1383601963	945	14	9	7243	5930	2.6220206575127883E-4	0.3573095535137842	1.80032496143903
4.sql	1026	618	41	11	114	38	110043	0	167418	0	145275	17506	3	1	52523	334	0.0162808882850565	0.521092970207986	1.0
3.sql	771	573	150	45	175	122	208285	0	397669	0	1448595	149768	6	3	30519	796	0.00875739755204738	0.8011484699629579	1.0003545210461169
21.sql	1747	1280	284	4	177	284	323841	0	583755	0	60188984	29144	13	9	4141	1168	0.004105100130126786	0.36808476847187305	1.0001329276472886
20.sql	1038	0	3	1	0	3	1296	0	2475	0	194577	420	6	3	263	5	0.21723999139848843	0.6493248598888012	1.8128583576204353
2.sql	226	38	27	1	9	27	6687	0	13518	0	211130	1064	18	9	460	28	0.11718455129482762	0.9248825223222372	1.2034877307915042
19.sql	473	155	303	1	132	303	200356	0	614922	0	444526	141979	4	2	121	1230	0.005816717709377177	0.6965851383310642	1.000769672119677
18.sql	762	0	4	6	0	4	1487	0	2610	0	3729	456	8	5	399	6	0.24412832213446078	0.8383931434636753	1.0002408249312849
17.sql	2271	36	6	1	10	6	1688	0	8562	0	196715	363	7	4	587	17	0.1512900542783351	0.6428128388877492	1.0012864915979514
16.sql	436	54	84	275	52	71	148393	0	326327	0	118632	236850	5	2	118274	652	0.009447085821714456	0.547601378429036	1.00031125
14.sql	298	239	44	13	230	34	152428	0	228744	0	105	199	4	2	75983	457	0.012857892296058786	0.571917808219178	1.00105
12.sql	198	157	26	12	153	21	62536	0	93929	0	3	250	4	2	30988	187	0.025914321045457083	0.5139654648099862	1.000166
11.sql	73	1	24	23	1	18	64841	0	97657	0	2729048	0	8	4	31680	195	0.024727300655704075	0.7797457232871776	1.99697625
10.sql	642	386	145	109	157	122	322443	0	579203	0	900620889	162066	8	4	114705	1158	0.0024579512689452197	0.01369904136730242	1.0014381084897814
1.sql	2190	255	145	1932	255	122	0	0	0	0	0	0	0	0	114705	0	0.0024579512689452197	0.01369904136730242	1.0014381084897814
