Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9.sql	1977	0	1506	134	0	1340	0	0	0	0	0	0	0	0	979921	0	4.482809100951973E-4	0.5343528315359443	1.000017000439657
8.sql	269	0	116	5	0	114	0	0	0	0	0	0	0	0	7644	0	0.005417204333242472	0.4596038701991286	1.0000486686200807
7.sql	1165	0	606	7	0	601	0	0	0	0	0	0	0	0	17331	0	1.221130720098984E-4	0.4598361311230512	1.2400232028689517
6.sql	1039	1033	606	4	1033	601	0	0	0	0	0	0	0	0	17331	0	1.221130720098984E-4	0.4598361311230512	1.2400232028689517
5.sql	1763	309	1447	3	271	1445	4516135	0	9601151	0	2388114616	1026	20	13	22028	19203	8.496726365107024E-5	0.35724121865729863	1.8000102797143618
4.sql	1783	1002	71	15	266	68	331350	0	504180	0	436901	52933	3	1	158414	1008	0.006664367540799512	0.5916955017301039	1.0
3.sql	1215	988	170	55	447	164	621625	0	1187418	0	4346913	449462	6	3	90026	2375	0.0032032246991310995	0.6665435940842359	1.000119366087018
21.sql	3589	2287	488	4	562	488	1361641	0	2593329	0	183391161	54922	12	7	12426	5186	0.0013627086116578552	0.8534838178564494	1.999797460326156
20.sql	2387	1	2	1	0	2	2557	0	4882	0	1543526	1140	6	3	741	10	0.21297677263253328	0.7308518386216739	1.9535972011340068
2.sql	296	41	48	0	3	48	14221	0	29039	0	347116	2544	21	10	1419	58	0.06706140958192895	0.6696668634901385	1.2000227401458325
19.sql	474	297	172	0	254	172	600623	0	1844572	0	1334404	425179	4	2	364	3689	0.002200444811411722	0.6338582677165354	1.0002562302780331
18.sql	1092	0	2	6	0	2	3115	0	4944	0	10379	538	8	5	1253	9	0.14683742675079928	0.5099439771348194	1.0000710564244013
17.sql	3353	40	4	0	3	4	3264	0	22008	0	570431	754	6	4	1632	44	0.08128236262001144	0.5921813110592862	1.000415
16.sql	759	38	101	612	36	89	445322	0	979453	0	356472	711632	5	2	355733	1959	0.0038634315653795033	0.6865644836242196	1.0000770833333332
14.sql	641	549	79	12	536	59	449704	0	674660	0	123	194	4	2	224637	1349	0.005207247846669809	0.6007194244604317	1.0003466666666667
12.sql	372	333	25	12	327	23	186826	0	280364	0	3	250	4	2	93144	560	0.010696861073507336	0.5352564102564102	1.0000553333333333
11.sql	64	0	23	15	0	16	98192	0	101442	0	9068816	0	10	6	95680	203	0.025412817810465994	0.5992159490358357	1.9973491666666665
10.sql	1078	748	176	153	428	142	861595	0	1519489	0	3137009	71804	9	6	344528	3038	0.0024987376646579463	0.4779264054099511	1.0002978082639413
1.sql	3643	881	176	2761	881	142	0	0	0	0	0	0	0	0	344528	0	0.0024987376646579463	0.4779264054099511	1.0002978082639413
