Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9.sql	3188	0	2478	179	0	2080	0	0	0	0	0	0	0	0	979921	0	4.490057734037912E-4	0.5329589640181849	1.0000201410871734
8.sql	398	0	151	5	0	148	0	0	0	0	0	0	0	0	7644	0	0.006022764187114512	0.5491060917556851	1.0000859370772301
7.sql	1150	1	567	6	1	548	0	0	0	0	0	0	0	0	17331	0	0.0012131082855888187	0.46050106008338615	1.0000335687762272
6.sql	853	845	567	6	845	548	0	0	0	0	0	0	0	0	17331	0	0.0012131082855888187	0.46050106008338615	1.0000335687762272
5.sql	2058	159	1892	4	95	1882	4518552	0	9606067	0	2388149218	1048	28	17	22028	19213	8.495744604244634E-5	0.35721981512682105	1.8003571024274745
4.sql	1662	1252	106	17	158	99	331350	0	504180	0	436901	52933	3	1	158414	1008	0.006664367540799512	0.5916955017301039	1.0
3.sql	1346	1010	249	85	243	236	621625	0	1187418	0	4346868	449300	6	3	90026	2375	0.0032032248910746188	0.6665435916452992	1.0001198235092423
21.sql	3779	2414	470	5	260	469	935415	0	1683954	0	180759365	88819	13	8	12426	3367	0.002087827162228235	0.8556022940101314	1.9997931879544637
20.sql	1975	3	2	1	1	2	2558	0	4886	0	1543526	1140	6	3	741	10	0.2126874647888596	0.7325282309006874	1.9539396864356793
2.sql	397	76	28	1	5	27	17016	0	34513	0	644049	2515	22	10	1419	69	0.05674433497713739	0.6820676071095273	1.2008938811249137
19.sql	491	205	278	0	142	277	600623	0	1844572	0	1334404	425179	4	2	364	3689	0.0022004448114234386	0.6338582677165354	1.0002562302780331
18.sql	1806	0	3	5	0	3	2842	0	4496	0	12003	482	8	5	1253	9	0.18485974143896663	0.6581575077927231	1.0001225026065372
17.sql	3971	80	7	1	13	7	3074	0	22078	0	572517	754	7	4	1632	44	0.08026631455232923	0.5847993173392144	1.0
16.sql	1355	79	161	1098	74	144	445348	0	979651	0	356508	712037	5	2	355733	1959	0.003773678322955768	0.605259632433063	1.00006875
14.sql	408	274	114	19	249	86	449704	0	674660	0	123	194	4	2	224637	1349	0.005207247846669809	0.6007194244604317	1.0003466666666667
12.sql	375	301	55	17	289	48	186826	0	280364	0	3	250	4	2	93144	560	0.010696861073507336	0.5352564102564102	1.0000553333333333
11.sql	112	0	49	22	0	33	193635	0	291312	0	9108012	0	9	5	95680	583	0.01057697353008301	0.6756033226459174	1.9992158333333334
10.sql	1396	809	343	242	366	299	967167	0	1737412	0	8101834951	486406	8	4	344528	3475	8.212859676869613E-4	0.004844259125077237	1.0004556451066788
1.sql	3704	305	343	3397	305	299	0	0	0	0	0	0	0	0	344528	0	8.212859676869613E-4	0.004844259125077237	1.0004556451066788
