Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9.sql	3102	0	2411	184	0	2029	0	0	0	0	0	0	0	0	979921	0	4.3976751689795866E-4	0.3803698677322557	1.0000098620322972
8.sql	563	0	189	4	0	186	0	0	0	0	0	0	0	0	7644	0	0.005343402528350858	0.5160246801323572	1.0001281037334289
7.sql	1479	0	907	6	0	887	0	0	0	0	0	0	0	0	17331	0	1.0898506717066333E-4	0.32964023814028065	1.2400138954711226
6.sql	787	779	907	6	779	887	0	0	0	0	0	0	0	0	17331	0	1.0898506717066333E-4	0.32964023814028065	1.2400138954711226
5.sql	2311	136	2168	4	85	2162	4582642	0	9734008	0	9246563186	683	30	20	22028	19469	8.459643038359949E-5	0.35724123155444115	1.800111953785683
4.sql	1791	1373	133	17	156	124	331350	0	504180	0	436901	52933	3	1	158414	1008	0.006664367540799512	0.5916955017301039	1.0
3.sql	1234	869	277	85	190	267	621629	0	1187422	0	4346931	449453	6	3	90026	2375	0.0032032101564929993	0.667359966271757	1.0001157774710612
21.sql	3725	2335	521	5	250	520	965634	0	1743109	0	179264339	88841	13	9	12426	3486	0.0020285691680197184	0.8548933146052164	1.0000201174754106
20.sql	1982	2	3	1	0	2	2559	0	4882	0	1538630	1140	6	3	741	10	0.21300084033491246	0.7308518386216739	1.9535972011340068
2.sql	403	80	25	1	6	24	14249	0	29039	0	350103	2544	20	9	1419	58	0.06706478218484811	0.6696668527349565	1.2000168185520823
19.sql	661	204	449	0	140	448	600623	0	1844572	0	1334404	425179	4	2	364	3689	0.0022004448114234386	0.6338582677165354	1.0002562302780331
18.sql	1847	0	4	5	0	3	2845	0	4496	0	12003	566	8	5	1253	9	0.18485871654389657	0.6581575077927231	1.0001132786466236
17.sql	4211	73	8	0	6	8	3275	0	22078	0	572517	754	7	4	1632	44	0.0802757351782049	0.5847999259751608	1.000415
16.sql	1343	60	168	1100	54	141	445306	0	979506	0	356480	711868	5	2	355733	1959	0.003830279207584115	0.6428667506245048	1.000065
14.sql	383	256	106	19	231	84	449704	0	674660	0	123	194	4	2	224637	1349	0.005207247846669809	0.6007194244604317	1.0003466666666667
12.sql	353	283	52	16	272	45	186823	0	280358	0	3	249	4	2	93144	560	0.010704388506606361	0.5369774919614148	1.0000551111111111
11.sql	117	0	50	22	0	37	193658	0	291338	0	9129848	0	8	4	95680	582	0.010515029158246586	0.6636637569600324	1.99909125
10.sql	1293	712	342	237	265	299	967245	0	1737559	0	8100085632	486423	9	5	344528	3475	8.210030227302893E-4	0.005015471920767172	1.0007089784400123
1.sql	3905	288	342	3615	288	299	0	0	0	0	0	0	0	0	344528	0	8.210030227302893E-4	0.005015471920767172	1.0007089784400123
