Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
29c.sql	318	236	0	175728	10289	289084	0	706094789	10055	272	254	16308	579	0.04721798980837079	0.34074044614439347	2.670200757351695
29b.sql	235	192	0	78263	13292	146904	0	961520113	9357	263	256	15	293	0.012850856384201635	0.34239411689480476	3.4518068881039277
29a.sql	293	245	0	120251	11145	195779	0	619319948	18439	378	359	1620	391	0.035743091861772075	0.3527097699567726	1.731684398263594
28c.sql	304	162	0	484423	76967	848531	0	22848081100	160784	826	740	8373	1697	0.0077527585996537245	0.17158293508409825	1.1399213972853302
28b.sql	183	149	0	70240	5237	138104	0	2793386116	61750	194	180	148	276	0.0067986760160114144	0.33351346670839255	2.516150879491071
28a.sql	242	194	0	120103	18518	212337	0	1450281462	37955	268	247	4803	424	0.016624811097756532	0.3334320055702855	2.097562019980905
27c.sql	300	285	0	32119	5543	59153	0	911805210	14862	123	119	743	118	0.022808854362945417	0.171	1.3022812175113119
27b.sql	147	136	0	18873	1505	34248	0	523495310	5285	72	69	247	68	0.028707782321948216	0.15700000000161463	1.0945385419816593
27a.sql	161	147	0	25957	3723	46618	0	615567582	11422	94	85	477	93	0.028101593427503894	0.147	1.551053151167702
26c.sql	313	167	0	380571	46912	722498	0	683108662	23163	503	435	5400	1444	0.0059316783995437845	0.34400483788933306	1.6903279743097506
26b.sql	243	161	0	251499	52289	453635	0	609181008	15402	868	766	93	907	0.010198081579324114	0.34315095164184883	2.3773563007304244
26a.sql	305	192	0	337144	64942	623827	0	405425630	30325	927	707	1728	1248	0.0066485156302608095	0.34391986991059975	1.695914928739434
25c.sql	234	149	0	345412	28432	615087	0	1439770304	108219	121	98	26153	1230	0.021987785213337697	0.0387301080426618	1.0177451432159337
25b.sql	170	166	0	4477	578	8567	0	218658553	2648	21	18	6	17	0.029811891311580213	0.4852005570786275	1.9522668265833865
25a.sql	203	164	0	141694	18895	265588	0	1186387024	82172	124	89	4407	531	0.009719871140851604	0.022089759874621473	1.0248899318681732
24b.sql	237	231	0	5879	618	11164	0	239342636	2403	27	24	45	23	0.0575250628477827	0.5105648222837832	2.514370068145041
24a.sql	215	202	0	22779	2628	43656	0	245705652	9190	92	89	275	88	0.013998431952271538	0.34068456539085834	1.6934119460714532
23c.sql	241	232	0	14150	949	25876	0	739199765	5275	56	53	628	52	0.05518286830599809	0.3452768729641694	1.9528631723421956
23b.sql	177	168	0	12699	1680	24536	0	1137690085	5963	54	51	16	50	0.03591014240636289	0.4799196787148594	2.696104036940496
