585	0	2194795	2194795	7973	7973	8
40	0	100108	100108	382	382	8
13	0	10313	10313	41	41	8
10	0	12437	12437	49	49	8
462	0	2721770	2721770	10006	10006	7
3500	0	26845051	26845051	100003	100003	7
6	0	1374	1374	6	6	7
9	0	27696	27696	110	110	7
407	0	1824925	1824925	6876	6876	8
5	0	4667	4667	19	19	8
8	0	13492	13492	54	54	8
432	0	1625966	1625966	6447	6447	5
4	0	4637	4637	19	19	5
9	0	28656	28656	116	116	5
3	0	1407	1407	7	7	5
3	0	1876	1876	8	8	5
5	0	4950	4950	20	20	5
4	0	5083	5083	20	20	5
2	0	512	512	3	3	5
3	0	3	3	1	1	5
10	0	38343	38343	144	144	5
3	0	5043	5043	21	21	5
8	0	30020	30020	110	110	5
9	0	30612	30612	121	121	4
3	0	10530	10530	43	43	4
6	0	16211	16211	65	65	4
14	0	14071	14071	55	55	14
8	0	10264	10264	41	41	14
24	0	32531	32531	129	129	14
24	0	119897	119897	479	479	6
2	0	1338	1338	6	6	6
35	0	97695	97695	364	364	11
13	0	11273	11273	43	43	11
35	0	89448	89448	341	341	11
81	0	251427	251427	891	891	12
9	0	10996	10996	42	42	12
60	0	154233	154233	590	590	12
58	0	305119	305119	1155	1155	5
1	0	508	508	3	3	5
51	0	241388	241388	957	957	5
41	0	214340	214340	857	857	5
81	0	175705	175705	579	579	17
43	0	78037	78037	293	293	17
48	0	119979	119979	391	391	17
141	0	484277	484277	1697	1697	14
34	0	70088	70088	276	276	14
47	0	119849	119849	424	424	14
15	0	31936	31936	118	118	12
11	0	18623	18623	68	68	12
14	0	25683	25683	93	93	12
145	0	380319	380319	1444	1444	12
82	0	251338	251338	907	907	12
112	0	337062	337062	1248	1248	12
83	0	345253	345253	1230	1230	9
4	0	4223	4223	17	17	9
38	0	141537	141537	531	531	9
6	0	5846	5846	23	23	12
13	0	22740	22740	88	88	12
9	0	14056	14056	52	52	11
9	0	12690	12690	50	50	11
8	0	13330	13330	49	49	11
115	0	351565	351565	1252	1252	11
49	0	192342	192342	658	658	11
27	0	62465	62465	243	243	11
38	0	117104	117104	429	429	11
11	0	32764	32764	121	121	9
6	0	7737	7737	31	31	9
3116	0	31444	31444	118	118	9
102	0	313367	313367	1201	1201	10
8	0	11987	11987	47	47	10
7	0	11256	11256	42	42	10
3	0	1018	1018	5	5	5
3	0	1046	1046	5	5	5
3	0	1023	1023	5	5	5
5	0	1934	1934	7	7	5
1803	0	9746411	9746411	33554	33554	10
22	0	99047	99047	379	379	10
5	0	3420	3420	14	14	10
7	0	13538	13538	53	53	10
96	0	496242	496242	1868	1868	7
7	0	21568	21568	86	86	7
21	0	86456	86456	323	323	7
736	0	3538587	3538587	12475	12475	7
1503	0	6060538	6060538	24089	24089	7
316	0	1369086	1369086	5458	5458	7
741	0	3982507	3982507	15905	15905	7
359	0	1431953	1431953	5642	5642	7
714	0	2976461	2976461	11788	11788	7
161	0	725866	725866	2663	2663	8
196	0	1062055	1062055	3986	3986	8
2312	0	9766747	9766747	34819	34819	8
17	0	85051	85051	340	340	8
15	0	56375	56375	202	202	9
7	0	14497	14497	52	52	9
5	0	5187	5187	20	20	9
7	0	8242	8242	32	32	9
27	0	93690	93690	332	332	8
3	0	1582	1582	7	7	8
17	0	53653	53653	206	206	8
1427	0	7155297	7155297	24545	24545	9
5	0	4130	4130	15	15	9
5	0	12342	12342	42	42	9
166	0	802574	802574	2644	2644	9
85	0	624570	624570	2131	2131	8
3	0	1107	1107	5	5	8
8	0	26317	26317	100	100	8
42	0	181763	181763	655	655	8
31	0	169382	169382	621	621	8
3	0	1904	1904	8	8	8
6	0	10892	10892	42	42	8
155	0	1666808	1666808	6667	6667	7
2	0	1865	1865	8	8	7
5	0	14846	14846	58	58	7
