Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
q21.sql,true,8116,1378,687,44,9,177,1201,0,0,0,0,0,817,0,0,0,0,11787,0.0,0.0,0.0,0,0,0,0
q21.sql,false,760,581,167,8,3,126,455,0,0,0,0,0,795,0,0,0,0,11787,0.0,0.0,0.0,0,0,0,0
q20.sql,true,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,6549,0.0,0.0,0.0,0,0,0,0
q20.sql,true,252,87,0,0,164,87,0,0,0,0,0,0,0,0,0,0,0,2733944,0.0,0.0,0.0,0,0,0,0
q20.sql,true,647,346,297,4,0,1,345,0,0,0,0,0,2293,0,0,0,0,17821,0.0,0.0,0.0,0,0,0,0
q20.sql,true,8,3,4,0,1,1,2,0,0,0,1,0,2,0,0,0,0,553,0.0,0.0,0.0,0,0,0,0
q20.sql,false,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6549,0.0,0.0,0.0,0,0,0,0
q20.sql,false,198,40,0,0,158,40,0,0,0,0,0,0,0,0,0,0,0,2733944,0.0,0.0,0.0,0,0,0,0
q20.sql,false,927,330,588,6,0,1,329,0,0,0,0,0,2337,0,0,0,0,17821,0.0,0.0,0.0,0,0,0,0
q20.sql,false,15,2,2,10,1,0,2,0,0,0,1,0,3,0,0,0,0,553,0.0,0.0,0.0,0,0,0,0
q19.sql,true,1320,936,284,1,98,122,814,0,98,0,0,0,792,0,0,0,0,328,0.0,0.0,0.0,0,0,0,0
q19.sql,false,460,391,65,0,2,113,278,0,2,0,0,0,793,0,0,0,0,328,0.0,0.0,0.0,0,0,0,0
q18.sql,true,140,0,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,17996609,0.0,0.0,0.0,0,0,0,0
q18.sql,true,125,1,119,0,5,1,0,0,0,0,0,0,4385,0,0,0,0,196,0.0,0.0,0.0,0,0,0,0
q18.sql,false,138,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,17996609,0.0,0.0,0.0,0,0,0,0
q18.sql,false,101,0,99,0,2,0,0,0,0,0,0,0,4398,0,0,0,0,196,0.0,0.0,0.0,0,0,0,0
q17.sql,true,174,0,0,0,174,0,0,0,174,0,0,0,0,0,0,0,0,17996609,0.0,0.0,0.0,0,0,0,0
q17.sql,true,85,65,18,2,0,2,63,0,0,0,0,0,15,0,0,0,0,1578,0.0,0.0,0.0,0,0,0,0
q17.sql,false,19,0,0,0,19,0,0,0,19,0,0,0,0,0,0,0,0,17996609,0.0,0.0,0.0,0,0,0,0
q17.sql,false,72,66,4,2,0,3,63,0,0,0,0,0,24,0,0,0,0,1578,0.0,0.0,0.0,0,0,0,0
q16.sql,true,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0,0,0,0
q16.sql,true,1053,0,225,523,305,0,0,0,305,0,0,0,1993,0,0,0,0,2398800,0.0,0.0,0.0,0,0,0,0
q16.sql,false,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0,0,0,0
q16.sql,false,418,0,122,236,60,0,0,0,60,0,0,0,1970,0,0,0,0,2398800,0.0,0.0,0.0,0,0,0,0
q14.sql,true,356,117,22,54,163,109,8,0,163,0,0,0,303,0,0,0,0,232993,0.0,0.0,0.0,0,0,0,0
q14.sql,false,318,96,21,83,117,88,8,0,117,0,0,0,302,0,0,0,0,232993,0.0,0.0,0.0,0,0,0,0
q12.sql,true,216,120,12,11,73,118,2,6,57,10,0,0,124,0,0,0,0,93421,0.0,0.0,0.0,0,0,0,0
q12.sql,false,156,63,12,13,68,62,1,6,57,5,0,0,125,0,0,0,0,93421,0.0,0.0,0.0,0,0,0,0
q11.sql,true,62,1,10,20,31,1,0,0,31,0,0,0,46,0,0,0,0,99600,0.0,0.0,0.0,0,0,0,0
q11.sql,true,38,1,12,20,5,1,0,0,31,0,0,0,141,0,0,0,0,99600,0.0,0.0,0.0,0,0,0,0
q11.sql,false,39,1,10,18,10,1,0,0,10,0,0,0,45,0,0,0,0,99600,0.0,0.0,0.0,0,0,0,0
q11.sql,false,652,1,10,634,7,1,0,0,10,0,0,0,69,0,0,0,0,99600,0.0,0.0,0.0,0,0,0,0
q10.sql,true,328,108,64,37,119,69,39,0,0,0,0,0,665,0,0,0,0,337586,0.0,0.0,0.0,0,0,0,0
q10.sql,false,249,60,47,37,105,35,25,0,0,0,0,0,658,0,0,0,0,337586,0.0,0.0,0.0,0,0,0,0
q09.sql,false,514,11,374,109,20,9,2,0,0,0,0,0,4626,0,0,0,0,980117,0.0,0.0,0.0,0,0,0,0
q08.sql,true,93,44,27,1,20,10,34,0,20,0,0,0,332,0,0,0,0,7167,0.0,0.0,0.0,0,0,0,0
q08.sql,true,6,0,0,0,6,0,0,2,2,2,0,0,0,0,0,0,0,7167,0.0,0.0,0.0,0,0,0,0
q08.sql,false,82,42,35,1,4,10,32,0,4,0,0,0,399,0,0,0,0,7167,0.0,0.0,0.0,0,0,0,0
q08.sql,false,8,0,0,0,7,0,0,3,2,2,0,0,0,0,0,0,0,7167,0.0,0.0,0.0,0,0,0,0
q07.sql,true,331,197,114,2,17,62,135,0,17,0,0,0,1883,0,0,0,0,17664,0.0,0.0,0.0,0,0,0,0
q07.sql,true,2,0,0,0,2,0,0,0,17,0,0,0,0,0,0,0,0,17664,0.0,0.0,0.0,0,0,0,0
q07.sql,false,325,183,130,2,10,51,132,0,10,0,0,0,2767,0,0,0,0,17664,0.0,0.0,0.0,0,0,0,0
q07.sql,false,1,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,17664,0.0,0.0,0.0,0,0,0,0
q06.sql,true,78,29,0,0,48,29,0,0,48,0,0,0,0,0,0,0,0,343014,0.0,0.0,0.0,0,0,0,0
q06.sql,false,85,39,0,0,46,39,0,0,46,0,0,0,0,0,0,0,0,343014,0.0,0.0,0.0,0,0,0,0
