Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9.sql	11798	0	8998	431	0	7697	0	0	0	0	0	0	0	0	2542733	0	4.2529035973545485E-5	0.01346600457454356	1.0749343333333332
8.sql	1658	1	982	32	1	933	0	0	0	0	0	0	0	0	91038	0	0.0011325727454445395	0.6816484392864283	1.2766539258011185
7.sql	2396	0	1961	22	0	1938	0	0	0	0	0	0	0	0	75200	0	1.4613223293059253E-4	0.7938608050143384	1.240177877160504
6.sql	595	584	1961	9	584	1938	0	0	0	0	0	0	0	0	75200	0	1.4613223293059253E-4	0.7938608050143384	1.240177877160504
5.sql	1736	215	1499	17	184	1460	2167137	0	4341883	0	62388403472	1991888	30	18	120311	8683	2.2436028613033186E-4	0.35844662384689285	1.8000997534776229
4.sql	1262	931	149	23	95	136	332588	0	503072	0	512684	52298	3	1	162012	1006	0.006763261927938046	0.6343268178042035	1.0
3.sql	1079	874	111	91	240	89	184471	0	317828	0	690114255	66773	6	3	78911	636	0.00975161972091516	0.7566906050573365	1.0003372250662173
21.sql	3330	1796	1207	14	215	1204	2119040	0	4117919	0	74634323730	181663	12	8	33699	8235	9.283780792070695E-4	0.5862094197610701	1.999808464842061
20.sql	1203	4	11	16	0	9	26371	0	30232	0	3612967	641	6	3	24001	61	0.07080048328361188	0.8084389531497439	1.9971186865267434
2.sql	385	29	210	0	11	209	192789	0	400229	0	2810521388	204475	15	8	20	800	0.001369999704842358	0.35856318909099405	1.6803312387516873
19.sql	359	264	82	1	235	82	123718	0	370908	0	123716	123676	4	2	18	741	0.008423915809266425	0.5231908054930224	1.00096
18.sql	2819	0	1478	431	0	1133	3487739	0	5277020	0	495153622692	1690465	24	10	1500000	10555	8.547952337063343E-4	0.9465591061891112	1.0387888333333333
17.sql	1792	31	325	1	6	325	4640	0	2557050	0	369718002890	4648	8	4	0	5114	3.9728825269398513E-4	0.2500115779115906	1.0000318333333333
16.sql	546	52	158	314	49	131	319921	0	669779	0	1089806	579696	5	2	289514	1339	0.004483171892270174	0.55001240246499	1.00019875
14.sql	405	371	23	9	369	18	71440	0	107277	0	35634	35836	4	2	35472	214	0.023776133865797223	0.5574780064562438	1.001175
12.sql	395	319	49	24	314	41	157854	0	236906	0	78807	79052	4	2	78651	473	0.012246023450081354	0.5235109717868338	1.000166
11.sql	258	0	110	53	0	65	307519	0	459828	0	2696448594	483	10	5	152080	919	0.006199519408924212	0.5000375052507351	1.99794
10.sql	1217	545	414	256	103	322	699132	0	1078017	0	26442980030	130224	9	5	433344	2157	0.001317014472843464	0.04888641523784704	1.0012078686883688
1.sql	2134	194	414	1936	194	322	0	0	0	0	0	0	0	0	433344	0	0.001317014472843464	0.04888641523784704	1.0012078686883688
