Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9.sql	18167	0	16046	449	0	14128	0	0	0	0	0	0	0	0	2542733	0	3.541392173885449E-5	0.014270128156559559	1.2370572499999999
8.sql	1502	0	880	32	0	824	0	0	0	0	0	0	0	0	91038	0	2.7154880948481185E-4	0.4634510816170477	1.9168866890751883
7.sql	2828	0	2264	22	0	2237	0	0	0	0	0	0	0	0	75200	0	1.5789289865380607E-4	0.7565807371331328	1.2401194401234785
6.sql	584	574	2264	8	574	2237	0	0	0	0	0	0	0	0	75200	0	1.5789289865380607E-4	0.7565807371331328	1.2401194401234785
5.sql	1448	139	1287	17	111	1259	1712436	0	3439314	0	48056944838	1574795	29	19	120311	6878	2.532644906463766E-4	0.3584466443026528	1.8001595383966467
4.sql	1504	998	161	25	94	148	332588	0	503072	0	512684	52298	3	1	162012	1006	0.006763261927938046	0.6343268178042035	1.0
3.sql	1278	1074	109	92	207	89	184440	0	317770	0	690061352	66786	6	3	78911	636	0.00988711317810268	0.8062313864081322	1.0005604785067121
21.sql	3049	1842	938	14	173	934	1594483	0	2959712	0	17645593133	751903	17	8	33699	5920	0.0012930507160483936	0.5967892553684844	1.9998248935382716
20.sql	1199	5	11	16	1	9	26392	0	30262	0	3615261	646	6	3	24001	61	0.07024948181714254	0.790684232028098	1.996597854278423
2.sql	390	32	199	0	14	198	233489	0	467028	0	2823701658	253980	25	14	20	935	0.0018393911642738611	0.35859361548897145	1.8025421719242116
19.sql	330	231	85	1	203	85	123718	0	370908	0	123716	123676	4	2	18	741	0.008423915813350464	0.5231908054930224	1.00096
18.sql	3041	1	1682	437	1	1287	3488575	0	5278224	0	495454160488	1690442	21	10	1500000	10556	7.795006402582154E-4	0.557817657368985	1.0387665
17.sql	1977	34	339	1	8	339	4386	0	2557126	0	369832790329	4360	8	4	0	5114	3.972897852828823E-4	0.2500115783517868	1.0000352440651512
16.sql	590	56	194	319	52	160	320035	0	669887	0	1089847	579574	5	2	289514	1339	0.004426159486053342	0.5188789539045915	1.00031125
14.sql	343	304	26	10	301	22	71440	0	107277	0	35634	35836	4	2	35472	214	0.023776133865797223	0.5574780064562438	1.001175
12.sql	425	341	56	24	334	46	157854	0	236906	0	78807	79052	4	2	78651	473	0.012246023450081354	0.5235109717868338	1.000166
11.sql	326	1	143	59	1	77	307519	0	459827	0	2696446824	484	10	5	152080	919	0.006199448311767631	0.5000375052507351	1.99794
10.sql	1414	769	391	252	111	318	699185	0	1078109	0	26443320227	130264	9	5	433344	2157	0.0013182143452136349	0.05158176926079177	1.0011558808259189
1.sql	2179	314	391	1861	314	318	0	0	0	0	0	0	0	0	433344	0	0.0013182143452136349	0.05158176926079177	1.0011558808259189
