Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
q21.sql,false,27253,3726,4977,202,39,506,3220,0,0,0,0,0,36107,0,0,0,0,334462,0.0,0.0,0.0,0,0,0,0
q20.sql,false,40,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,20,0.0,0.0,0.0,0,0,0,0
q20.sql,false,987,183,0,0,804,183,0,0,0,0,0,0,0,0,0,0,0,9829006,0.0,0.0,0.0,0,0,0,0
q20.sql,false,3854,566,3081,207,0,0,566,0,0,0,0,0,17791,0,0,0,0,960005,0.0,0.0,0.0,0,0,0,0
q20.sql,false,95,57,20,7,11,0,57,0,0,0,11,0,56,0,0,0,0,16000,0.0,0.0,0.0,0,0,0,0
q19.sql,false,1233,965,247,2,19,268,697,0,19,0,0,0,4338,0,0,0,0,135,0.0,0.0,0.0,0,0,0,0
q18.sql,false,721,240,0,0,481,240,0,0,0,0,0,0,0,0,0,0,0,60000000,0.0,0.0,0.0,0,0,0,0
q18.sql,false,10612,0,6423,3122,1067,0,0,0,0,0,0,0,108530,0,0,0,0,15000000,0.0,0.0,0.0,0,0,0,0
q17.sql,false,418,0,0,0,417,0,0,0,417,0,0,0,0,0,0,0,0,60000000,0.0,0.0,0.0,0,0,0,0
q17.sql,false,4478,163,4314,0,1,3,160,0,1,0,0,0,182118,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
q16.sql,false,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,56,0.0,0.0,0.0,0,0,0,0
q16.sql,false,3333,0,1760,1126,447,0,0,0,447,0,0,0,14817,0,0,0,0,7997756,0.0,0.0,0.0,0,0,0,0
q14.sql,false,452,188,77,76,111,171,17,0,111,0,0,0,1326,0,0,0,0,356998,0.0,0.0,0.0,0,0,0,0
q12.sql,false,943,317,233,169,224,309,8,16,176,32,0,0,3096,0,0,0,0,788073,0.0,0.0,0.0,0,0,0,0
q11.sql,false,935,0,588,256,91,0,0,0,91,0,0,0,1847,0,0,0,0,1520039,0.0,0.0,0.0,0,0,0,0
q11.sql,false,837,0,494,232,111,0,0,0,91,0,0,0,1848,0,0,0,0,1520039,0.0,0.0,0.0,0,0,0,0
q09.sql,false,37343,82,29708,6615,938,82,0,0,0,0,0,0,373215,0,0,0,0,25558157,0.0,0.0,0.0,0,0,0,0
q08.sql,false,2431,228,1734,205,264,27,201,0,264,0,0,0,27108,0,0,0,0,909143,0.0,0.0,0.0,0,0,0,0
q08.sql,false,115,0,0,0,114,0,0,18,50,46,0,0,0,0,0,0,0,909143,0.0,0.0,0.0,0,0,0,0
q07.sql,false,13045,997,11374,533,141,172,825,0,141,0,0,0,232528,0,0,0,0,752000,0.0,0.0,0.0,0,0,0,0
q07.sql,false,10,0,0,0,10,0,0,0,141,0,0,0,0,0,0,0,0,752000,0.0,0.0,0.0,0,0,0,0
q06.sql,false,246,176,0,0,70,176,0,0,70,0,0,0,0,0,0,0,0,2678973,0.0,0.0,0.0,0,0,0,0
q05.sql,false,5375,765,4313,283,14,644,121,0,0,0,0,0,59130,0,0,0,0,1197816,0.0,0.0,0.0,0,0,0,0
q04.sql,false,297,14,215,62,6,10,4,0,0,0,0,0,1244,0,0,0,0,545636,0.0,0.0,0.0,0,0,0,0
q03.sql,false,3459,734,1202,794,729,359,375,0,0,0,0,0,8378,0,0,0,0,4059525,0.0,0.0,0.0,0,0,0,0
q02.sql,false,954,0,525,311,117,0,0,0,0,0,0,0,2607,0,0,0,0,1600000,0.0,0.0,0.0,0,0,0,0
q02.sql,false,135,102,24,8,1,2,100,0,0,0,1,0,15,0,0,0,0,24,0.0,0.0,0.0,0,0,0,0
q01.sql,false,3689,2127,0,0,1562,2127,0,0,0,0,0,0,0,0,0,0,0,59362409,0.0,0.0,0.0,0,0,0,0
