Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9d.sql	2119	298	1768	29	240	1583	3831632	0	7578155	0	76316695240	1020214	234	178	483082	15157	5.186503193838872E-4	0.6812638547926096	2.444962690836276
9c.sql	318	250	63	0	189	62	152058	0	291252	0	9946967900	62688	117	93	8144	583	0.011237585440557392	0.8200692041522492	1.7236466324107949
9b.sql	212	188	17	0	124	17	12802	0	25499	0	975155231	7495	43	39	40	50	0.06937297866773996	0.6879522461676428	1.6952499850019762
9a.sql	339	319	15	0	204	15	16497	0	32523	0	1415664326	9095	51	47	121	66	0.0707679174001334	0.970464135021097	1.6878881453282293
8d.sql	673	7	661	3	3	601	2014259	0	3841425	0	76432914225	403606	46	28	323005	7682	1.0723356621671377E-4	0.7872050672182747	1.7948868767874857
8c.sql	15763	6	15732	23	2	15018	16866848	0	32642416	0	7447255569266	4585049	49	30	2487611	65285	1.4115126404793955E-5	0.6657789680302963	1.741529277944787
8b.sql	458	440	13	0	433	13	1694	0	3293	0	8694592	701	8	8	6	7	0.09422957376024228	0.6273506666953881	1.6575229639257933
8a.sql	128	106	20	0	98	20	37358	0	74692	0	1209832686	1922	18	16	62	149	0.03892518552863895	0.6270691229389334	2.013911947873135
7c.sql	1327	395	926	1	269	919	1862402	0	3575503	0	366931935	373957	44	36	68185	7152	0.0011873798200955094	0.7752910811265104	1.000637852036034
7b.sql	277	265	9	0	166	9	4061	0	7849	0	535444	1519	16	16	16	15	0.0246085294636556	0.286046421691003	1.0087490110628377
7a.sql	415	401	10	0	298	10	8973	0	17722	0	4906932	6518	32	26	32	36	0.01614231396839067	0.13990835013088818	1.0123122227133463
6f.sql	1171	119	1039	11	40	861	1632041	0	3235200	0	468035845	802	15	7	785477	6471	2.81345328075166E-4	0.04139974446942631	1.000127726818897
6e.sql	150	142	6	0	63	6	3414	0	6824	0	1194018	48	14	8	6	14	0.16731337871364302	0.5772129693019117	1.9203389183981563
6d.sql	158	148	8	0	69	8	10615	0	21142	0	2776567	900	15	7	88	42	0.01885855833815269	0.5428422120638957	1.000051425027194
6c.sql	63	57	5	0	57	5	1801	0	3598	0	423142	7	10	7	2	8	0.1713758664696106	0.5428460782736197	1.5767262834031925
6b.sql	67	60	4	0	59	4	1931	0	3846	0	781954	52	8	7	12	7	0.09489755615516339	0.5428460092973403	1.1027494696725118
6a.sql	103	96	6	0	71	6	3764	0	7520	0	1327919	340	16	8	6	16	0.14018875937754346	0.6254843337269869	1.920966235495141
5c.sql	309	300	6	0	169	6	3777	0	7455	0	19321937	1980	10	7	669	15	0.22938867138686367	0.997662603001069	2.0178404857828114
5b.sql	211	205	4	0	136	3	751	0	1502	0	116467416	310	5	4	0	3	0.02093533383247796	0.062167702538627134	1.053733090895715
5a.sql	315	308	5	0	245	5	751	0	1502	0	66	519	5	4	0	3	2.989229848795078E-4	6.499577553335437E-4	1.0008891113480243
4c.sql	297	276	19	0	88	18	39255	0	73100	0	210743550	8952	16	8	4700	147	0.008868765760952768	0.5121391823049048	1.000812165171758
4b.sql	79	72	5	0	46	5	3067	0	6119	0	2866873	916	11	7	6	12	0.07554056125253307	0.4653927406464045	1.6768377606659914
4a.sql	176	164	11	0	46	11	18522	0	36137	0	153887964	4739	11	6	740	72	0.010470772381702943	0.2287498579011915	1.000624018485508
3c.sql	278	259	17	0	141	16	29882	0	58656	0	113303872	14466	10	5	7250	118	0.009593311040056658	0.41292970717790245	1.000365871216727
3b.sql	80	73	6	0	49	6	4824	0	9640	0	2952399	902	10	6	5	20	0.13655228679805195	0.8713235294117647	1.0006907864024155
3a.sql	312	192	118	0	133	118	375152	0	749987	0	73305374	74554	13	6	206	1499	0.004335302405363394	0.4559752666887166	1.0003008645939517
33c.sql	179	134	40	0	65	40	70458	0	139523	0	1360093036	41508	98	91	114	280	0.021407711784752002	0.8984985068726068	2.0007555184879213
33b.sql	152	137	11	0	47	11	7796	0	15408	0	83438927	1996	33	32	4	31	0.03245163998700472	0.19857943177270906	1.0599854859989484
33a.sql	154	122	27	1	36	27	42052	0	83336	0	747644643	15096	115	111	8	166	0.027879123371316945	0.5847045431025562	2.0028708755767064
32b.sql	90	0	89	0	0	88	441372	0	876579	0	99609091	42713	58	25	4388	1754	0.003855976918186972	0.8947840581677576	1.224233534223908
32a.sql	3	1	1	0	0	1	503	0	1006	0	33511	18	4	3	0	2	5.065386885640776E-4	0.0010130773771281551	1.0
31c.sql	321	222	94	0	107	93	164243	0	320019	0	857174819	22744	160	148	2825	641	0.0028531250496987744	0.49083135439739295	1.0302962442007761
