Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
33c.sql,true,7405,361,73,22,1,53,308,0,0,0,0,0,74,0,0,0,0,114,0.0,0.0,0.0,0,0,0,0
33c.sql,false,219,123,76,19,0,35,88,0,0,0,0,0,91,0,0,0,0,114,0.0,0.0,0.0,0,0,0,0
33b.sql,true,127,73,37,17,0,45,28,0,0,0,0,0,30,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0
33b.sql,false,60,45,13,2,0,17,28,0,0,0,0,0,21,0,0,0,0,4,0.0,0.0,0.0,0,0,0,0
33a.sql,true,84,66,16,1,0,29,37,0,0,0,0,0,91,0,0,0,0,8,0.0,0.0,0.0,0,0,0,0
33a.sql,false,105,62,25,17,0,28,34,0,0,0,0,0,34,0,0,0,0,8,0.0,0.0,0.0,0,0,0,0
32b.sql,true,209,0,204,3,2,0,0,0,2,0,0,0,526,0,0,0,0,4388,0.0,0.0,0.0,0,0,0,0
32b.sql,false,33,0,29,3,1,0,0,0,1,0,0,0,288,0,0,0,0,4388,0.0,0.0,0.0,0,0,0,0
32a.sql,true,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
32a.sql,false,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0
31c.sql,true,461,416,31,13,1,330,86,0,1,0,0,0,334,0,0,0,0,2825,0.0,0.0,0.0,0,0,0,0
31c.sql,false,197,126,68,2,1,40,86,0,1,0,0,0,1403,0,0,0,0,2825,0.0,0.0,0.0,0,0,0,0
31b.sql,true,246,243,3,0,0,145,98,0,0,0,0,0,18,0,0,0,0,84,0.0,0.0,0.0,0,0,0,0
31b.sql,false,229,226,3,0,0,136,90,0,0,0,0,0,22,0,0,0,0,84,0.0,0.0,0.0,0,0,0,0
31a.sql,true,143,132,9,1,1,47,85,0,1,0,0,0,196,0,0,0,0,1273,0.0,0.0,0.0,0,0,0,0
31a.sql,false,146,132,11,2,0,46,86,0,0,0,0,0,309,0,0,0,0,1273,0.0,0.0,0.0,0,0,0,0
30c.sql,true,224,133,84,7,0,44,89,0,0,0,0,0,1218,0,0,0,0,8024,0.0,0.0,0.0,0,0,0,0
30c.sql,false,228,134,87,6,1,44,90,0,1,0,0,0,1666,0,0,0,0,8024,0.0,0.0,0.0,0,0,0,0
30b.sql,true,190,187,3,0,0,102,85,0,0,0,0,0,19,0,0,0,0,28,0.0,0.0,0.0,0,0,0,0
30b.sql,false,185,181,3,0,1,96,85,0,1,0,0,0,14,0,0,0,0,28,0.0,0.0,0.0,0,0,0,0
30a.sql,true,196,148,47,1,0,60,88,0,0,0,0,0,671,0,0,0,0,757,0.0,0.0,0.0,0,0,0,0
30a.sql,false,181,147,34,0,0,58,89,0,0,0,0,0,712,0,0,0,0,757,0.0,0.0,0.0,0,0,0,0
29c.sql,true,1393,1297,80,16,0,1142,155,0,0,0,0,0,2918,0,0,0,0,16308,0.0,0.0,0.0,0,0,0,0
29c.sql,false,1181,1083,69,28,1,994,89,0,1,0,0,0,1732,0,0,0,0,16308,0.0,0.0,0.0,0,0,0,0
29b.sql,true,649,646,3,0,0,562,84,0,0,0,0,0,16,0,0,0,0,15,0.0,0.0,0.0,0,0,0,0
29b.sql,false,644,640,3,0,0,556,84,0,0,0,0,0,23,0,0,0,0,15,0.0,0.0,0.0,0,0,0,0
29a.sql,true,1081,1076,4,1,0,989,87,0,0,0,0,0,38,0,0,0,0,1620,0.0,0.0,0.0,0,0,0,0
29a.sql,false,927,921,5,1,0,835,86,0,0,0,0,0,58,0,0,0,0,1620,0.0,0.0,0.0,0,0,0,0
28c.sql,true,236,194,36,6,0,98,96,0,0,0,0,0,718,0,0,0,0,8373,0.0,0.0,0.0,0,0,0,0
28c.sql,false,245,189,50,6,0,93,96,0,0,0,0,0,1199,0,0,0,0,8373,0.0,0.0,0.0,0,0,0,0
28b.sql,true,180,134,40,6,0,88,46,0,0,0,0,0,929,0,0,0,0,148,0.0,0.0,0.0,0,0,0,0
28b.sql,false,161,132,29,0,0,89,43,0,0,0,0,0,374,0,0,0,0,148,0.0,0.0,0.0,0,0,0,0
28a.sql,true,258,196,58,4,0,99,97,0,0,0,0,0,1012,0,0,0,0,4803,0.0,0.0,0.0,0,0,0,0
28a.sql,false,245,192,49,4,0,97,95,0,0,0,0,0,982,0,0,0,0,4803,0.0,0.0,0.0,0,0,0,0
27c.sql,true,183,173,10,0,0,44,129,0,0,0,0,0,119,0,0,0,0,743,0.0,0.0,0.0,0,0,0,0
27c.sql,false,179,165,8,6,0,42,123,0,0,0,0,0,89,0,0,0,0,743,0.0,0.0,0.0,0,0,0,0
27b.sql,true,123,121,2,0,0,25,96,0,0,0,0,0,28,0,0,0,0,247,0.0,0.0,0.0,0,0,0,0
27b.sql,false,121,118,3,0,0,23,95,0,0,0,0,0,45,0,0,0,0,247,0.0,0.0,0.0,0,0,0,0
27a.sql,true,132,125,6,1,0,35,90,0,0,0,0,0,178,0,0,0,0,477,0.0,0.0,0.0,0,0,0,0
27a.sql,false,135,131,2,2,0,35,96,0,0,0,0,0,48,0,0,0,0,477,0.0,0.0,0.0,0,0,0,0
26c.sql,true,328,152,169,6,0,138,14,0,0,0,0,0,960,0,0,0,0,5400,0.0,0.0,0.0,0,0,0,0
26c.sql,false,255,148,103,4,0,136,12,0,0,0,0,0,1918,0,0,0,0,5400,0.0,0.0,0.0,0,0,0,0
26b.sql,true,162,142,20,0,0,130,12,0,0,0,0,0,284,0,0,0,0,93,0.0,0.0,0.0,0,0,0,0
26b.sql,false,170,150,19,0,1,135,15,0,1,0,0,0,257,0,0,0,0,93,0.0,0.0,0.0,0,0,0,0
26a.sql,true,232,150,81,1,0,130,20,0,0,0,0,0,1995,0,0,0,0,1728,0.0,0.0,0.0,0,0,0,0
26a.sql,false,237,148,88,0,1,130,18,0,1,0,0,0,1683,0,0,0,0,1728,0.0,0.0,0.0,0,0,0,0
25c.sql,true,163,93,64,6,0,16,77,0,0,0,0,0,898,0,0,0,0,26153,0.0,0.0,0.0,0,0,0,0
25c.sql,false,196,94,90,12,0,18,76,0,0,0,0,0,1183,0,0,0,0,26153,0.0,0.0,0.0,0,0,0,0
25b.sql,true,110,102,0,8,0,32,70,0,0,0,0,0,1,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0
25b.sql,false,111,103,0,6,0,32,71,0,0,0,0,0,1,0,0,0,0,6,0.0,0.0,0.0,0,0,0,0
25a.sql,true,130,86,42,1,1,13,73,0,1,0,0,0,434,0,0,0,0,4407,0.0,0.0,0.0,0,0,0,0
25a.sql,false,125,83,39,2,1,12,71,0,1,0,0,0,431,0,0,0,0,4407,0.0,0.0,0.0,0,0,0,0
24b.sql,true,1102,1095,2,5,0,1013,82,0,0,0,0,0,34,0,0,0,0,45,0.0,0.0,0.0,0,0,0,0
24b.sql,false,1090,1082,3,5,0,1001,81,0,0,0,0,0,48,0,0,0,0,45,0.0,0.0,0.0,0,0,0,0
24a.sql,true,945,921,18,5,0,836,85,0,0,0,0,0,567,0,0,0,0,275,0.0,0.0,0.0,0,0,0,0
24a.sql,false,884,874,9,0,1,778,96,0,1,0,0,0,180,0,0,0,0,275,0.0,0.0,0.0,0,0,0,0
23c.sql,true,132,130,2,0,0,99,31,0,0,0,0,0,24,0,0,0,0,628,0.0,0.0,0.0,0,0,0,0
23c.sql,false,135,131,3,1,0,103,28,0,0,0,0,0,43,0,0,0,0,628,0.0,0.0,0.0,0,0,0,0
23b.sql,true,111,104,2,5,0,83,21,0,0,0,0,0,1,0,0,0,0,16,0.0,0.0,0.0,0,0,0,0
23b.sql,false,105,102,2,1,0,83,19,0,0,0,0,0,17,0,0,0,0,16,0.0,0.0,0.0,0,0,0,0
23a.sql,true,125,120,3,2,0,98,22,0,0,0,0,0,46,0,0,0,0,618,0.0,0.0,0.0,0,0,0,0
23a.sql,false,115,112,3,0,0,95,17,0,0,0,0,0,35,0,0,0,0,618,0.0,0.0,0.0,0,0,0,0
22d.sql,true,172,124,42,6,0,45,79,0,0,0,0,0,761,0,0,0,0,46281,0.0,0.0,0.0,0,0,0,0
22d.sql,false,227,113,101,12,1,35,78,0,1,0,0,0,2199,0,0,0,0,46281,0.0,0.0,0.0,0,0,0,0
22c.sql,true,254,215,35,4,0,108,107,0,0,0,0,0,625,0,0,0,0,21489,0.0,0.0,0.0,0,0,0,0
22c.sql,false,244,207,32,4,1,102,105,0,1,0,0,0,556,0,0,0,0,21489,0.0,0.0,0.0,0,0,0,0
22b.sql,true,200,177,22,1,0,90,87,0,0,0,0,0,285,0,0,0,0,31,0.0,0.0,0.0,0,0,0,0
22b.sql,false,205,182,23,0,0,93,89,0,0,0,0,0,247,0,0,0,0,31,0.0,0.0,0.0,0,0,0,0
22a.sql,true,215,192,21,2,0,103,89,0,0,0,0,0,358,0,0,0,0,2851,0.0,0.0,0.0,0,0,0,0
22a.sql,false,217,193,23,1,0,103,90,0,0,0,0,0,375,0,0,0,0,2851,0.0,0.0,0.0,0,0,0,0
21c.sql,true,184,169,9,6,0,43,126,0,0,0,0,0,122,0,0,0,0,1874,0.0,0.0,0.0,0,0,0,0
21c.sql,false,167,156,10,1,0,39,117,0,0,0,0,0,133,0,0,0,0,1874,0.0,0.0,0.0,0,0,0,0
21b.sql,true,130,127,2,1,0,37,90,0,0,0,0,0,43,0,0,0,0,38,0.0,0.0,0.0,0,0,0,0
21b.sql,false,139,131,3,5,0,39,92,0,0,0,0,0,68,0,0,0,0,38,0.0,0.0,0.0,0,0,0,0
21a.sql,true,135,129,6,0,0,36,93,0,0,0,0,0,77,0,0,0,0,1410,0.0,0.0,0.0,0,0,0,0
