Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9d.sql	1336	386	23	3859909	252380	7144371	0	202962624	1335459	368	275	483082	14288	0.03414444903409632	0.3596309333586356	2.006572266595496
9c.sql	145	111	0	106285	4858	203182	0	169957212	58730	119	86	8144	406	0.0274197477041494	0.340703558679949	1.6839248433624068
9b.sql	4932	4920	0	10366	690	20391	0	142760540	7802	34	29	40	40	0.04451133032828538	0.34401284343007	1.6937546895198636
9a.sql	201	186	0	12453	808	24535	0	158834457	9513	39	33	121	49	0.043032931438594615	0.3407098977840335	1.6843855543994994
8d.sql	493	4	2	2711871	180525	5001501	0	9757798660	515156	163	112	323005	10003	0.03235568694870713	0.41060280128454824	1.808527275332906
8c.sql	5278	4	12	26488186	1853911	50002001	0	1890472975	5790170	192	125	2487611	100004	0.024885046847139804	0.4340000443573729	2.0043754010984833
8b.sql	155	148	0	675	167	1177	0	5788062	269	5	3	6	2	0.15686395617380094	0.3137279123476019	1.6274450829797518
8a.sql	118	108	0	28174	1411	55852	0	29872375	24930	44	37	62	112	0.023888087127842277	0.3687315634218289	1.648202249941955
7c.sql	581	165	0	1638077	137940	3179347	0	334839362	384293	212	162	68185	6359	0.010945799598421775	0.17800000000256344	1.1245009067216571
7b.sql	108	102	0	4923	869	9813	0	421610	2001	23	20	16	19	0.013245792633290709	0.15883765343164405	1.0196142590417363
7a.sql	259	250	0	17396	1628	34147	0	8770747	13732	38	32	32	68	0.018328669313186066	0.18276666590173768	1.0138977733905907
6f.sql	609	75	6	1625975	909	3223174	0	467927032	1546	43	15	785477	6447	0.12201538775675685	0.16300000000000328	1.0004128550787814
6e.sql	141	137	0	5022	711	9933	0	1335159	330	23	12	6	19	0.046982784115301955	0.2722335032345775	1.920525324109078
6d.sql	147	135	0	30910	1116	62033	0	10184590	759	38	14	88	124	0.004227973451925953	0.14623030670705814	1.00009310095612
6c.sql	89	86	0	1052	109	2103	0	48451	74	7	5	2	4	0.06785626523231583	0.27142085876602773	1.0000083599250686
6b.sql	104	100	0	1925	264	4030	0	1248875	159	11	7	12	8	0.04075979611758559	0.27142227775536915	1.0799436453956635
6a.sql	116	110	0	4578	449	8982	0	1317677	744	22	11	6	18	0.051983095150263926	0.29060648668428435	1.9213558090027398
5c.sql	295	290	0	4834	542	9572	0	31474861	2414	22	12	669	19	0.1249146809084195	0.5006521269076384	2.018167112837509
5b.sql	161	157	0	751	177	1502	0	130486644	421	6	4	0	3	0.016669563792796858	0.049844972555067604	1.0990562350868858
5a.sql	144	140	0	502	100	1002	0	0	99	5	3	0	2	2.2929654765960973E-5	4.585930953192195E-5	1.0
4c.sql	162	150	0	38365	4423	71641	0	234096618	9041	32	16	4700	144	0.03717423556991862	0.28565577837409345	1.0014967400014978
4b.sql	33	30	0	4267	347	8343	0	5563240	614	19	10	6	16	0.029837808990086524	0.21307851211038528	1.6776638664476742
4a.sql	108	101	0	19964	1940	38849	0	188869550	5179	23	12	740	78	0.015057851128254102	0.1491716496641612	1.0010964491948589
3c.sql	201	189	0	30748	2298	60312	0	113308809	15148	27	10	7250	121	0.0639080172082322	0.2260408488897902	1.0008652321996188
3b.sql	41	38	0	6097	758	12188	0	5403675	1378	19	9	5	25	0.05358102160985712	0.4169611307420495	1.0018479234556985
3a.sql	120	114	0	16342	1158	32672	0	113284139	12472	19	9	206	65	0.00832956698973416	0.13880673043571098	1.0029195837695597
33c.sql	139	100	0	62470	6993	122615	0	1448005551	45029	186	172	114	246	0.011773805597649905	0.4011566771819138	2.007970337034666
33b.sql	71	62	0	12498	1025	24494	0	111524837	6326	52	49	4	48	0.012782430935388535	0.04348224935011284	1.7723854062405349
33a.sql	123	114	0	12613	2221	24822	0	85811383	2502	54	51	8	50	0.010479031914290681	0.047463079641297465	1.031022474744145
32b.sql	20	1	0	110195	727	219892	0	260036804	46788	50	24	4388	440	0.016668322837111782	0.35714285714285715	1.2420731915160783
32a.sql	2	1	0	531	51	1006	0	36661	156	5	3	0	2	2.085830684859848E-12	4.171661369719696E-12	1.0
31c.sql	184	139	1	106429	8455	199697	0	184974258	10035	186	168	2825	400	0.010309156437670646	0.1596480464243236	1.0155918075085915
31b.sql	234	224	0	10782	999	20962	0	134369942	3933	46	43	84	42	0.03180298907048838	0.34507042253521125	1.0702159985521602
31a.sql	191	159	0	87764	10160	168497	0	251642093	9507	176	152	1273	336	0.0059402836772398755	0.15665093388864404	1.017868956716488
30c.sql	288	179	0	343165	76299	628176	0	1650809585	177405	370	330	8024	1257	0.0072464710256527525	0.030905105135931057	1.0299237731962891
30b.sql	217	208	0	12298	2099	22246	0	167273974	3354	48	45	28	44	0.02426593736209708	0.3838109748394182	1.0235239513012975
30a.sql	284	222	0	164170	19247	305165	0	1357078694	77445	227	200	757	611	0.003257880038488343	0.015029678334241762	1.0254453955446687
2d.sql	67	3	0	311850	5981	597964	0	1756280448	25524	46	17	68316	1196	0.05982677366400197	0.428116204002541	2.0001794869552896
2c.sql	2	0	0	976	6	2014	0	2600321	242	7	5	0	4	1.6651066255595197E-4	6.545400059658859E-4	1.0013315855904048
2b.sql	57	1	0	312017	96177	622379	0	1751813152	19696	43	15	5228	1244	0.00658945899240817	0.19407205804732156	2.001724415468233
