835	0	3859659	3859659	14288	14288	8
33	0	106114	106114	406	406	8
12	0	10143	10143	40	40	8
14	0	12319	12319	49	49	8
452	0	2711621	2711621	10003	10003	7
5118	0	26487936	26487936	100004	100004	7
6	0	425	425	2	2	7
10	0	28086	28086	112	112	7
413	0	1637990	1637990	6359	6359	8
6	0	4650	4650	19	19	8
9	0	17232	17232	68	68	8
442	0	1625927	1625927	6447	6447	5
4	0	4772	4772	19	19	5
12	0	30776	30776	124	124	5
2	0	802	802	4	4	5
4	0	1802	1802	8	8	5
6	0	4497	4497	18	18	5
5	0	4691	4691	19	19	5
3	0	501	501	3	3	5
4	0	252	252	2	2	5
11	0	38327	38327	144	144	5
3	0	4017	4017	16	16	5
7	0	19873	19873	78	78	5
11	0	30664	30664	121	121	4
3	0	6050	6050	25	25	4
6	0	16174	16174	65	65	4
39	0	62441	62441	246	246	14
9	0	12248	12248	48	48	14
8	0	12515	12515	50	50	14
19	0	110097	110097	440	440	6
1	0	281	281	2	2	6
44	0	106378	106378	400	400	11
10	0	10699	10699	42	42	11
32	0	87514	87514	336	336	11
108	0	343121	343121	1257	1257	12
9	0	11945	11945	44	44	12
62	0	164128	164128	611	611	12
61	0	311734	311734	1196	1196	5
1	0	726	726	4	4	5
56	0	311794	311794	1244	1244	5
50	0	239666	239666	949	949	5
136	0	404673	404673	1308	1308	17
50	0	88629	88629	334	334	17
45	0	88309	88309	288	288	17
62	0	142459	142459	502	502	14
36	0	65965	65965	258	258	14
48	0	106257	106257	388	388	14
16	0	32752	32752	122	122	12
10	0	15313	15313	57	57	12
17	0	32560	32560	121	121	12
142	0	400476	400476	1536	1536	12
49	0	127706	127706	468	468	12
66	0	181895	181895	685	685	12
89	0	344249	344249	1219	1219	9
2	0	253	253	1	1	9
40	0	133894	133894	510	510	9
15	0	24384	24384	97	97	12
13	0	22282	22282	87	87	12
8	0	13318	13318	50	50	11
6	0	10316	10316	39	39	11
9	0	16251	16251	61	61	11
126	0	623203	623203	2143	2143	11
58	0	221430	221430	793	793	11
30	0	70378	70378	277	277	11
31	0	81063	81063	299	299	11
13	0	32238	32238	120	120	9
9	0	17927	17927	72	72	9
11	0	31819	31819	118	118	9
100	0	294194	294194	1140	1140	10
8	0	8995	8995	35	35	10
12	0	32549	32549	124	124	10
3	0	275	275	2	2	5
4	0	1539	1539	7	7	5
3	0	19	19	1	1	5
4	0	1769	1769	7	7	5
1451	0	7163051	7163051	24413	24413	10
23	0	99031	99031	379	379	10
4	0	1736	1736	7	7	10
8	0	13226	13226	52	52	10
117	0	548399	548399	2034	2034	7
7	0	20588	20588	83	83	7
17	0	72895	72895	282	282	7
933	0	4928451	4928451	18017	18017	7
1423	0	6008467	6008467	23883	23883	7
64	0	404591	404591	1598	1598	7
348	0	1240567	1240567	4959	4959	7
345	0	1429672	1429672	5636	5636	7
524	0	2154925	2154925	8283	8283	7
150	0	742800	742800	2729	2729	8
183	0	863127	863127	3103	3103	8
2596	0	12171185	12171185	44689	44689	8
20	0	91014	91014	364	364	8
19	0	69506	69506	248	248	9
7	0	15375	15375	57	57	9
5	0	5083	5083	20	20	9
6	0	9074	9074	35	35	9
29	0	89761	89761	324	324	8
2	0	1651	1651	7	7	8
20	0	54300	54300	210	210	8
1406	0	7287930	7287930	24938	24938	9
3	0	2842	2842	11	11	9
6	0	11723	11723	41	41	9
167	0	892122	892122	2878	2878	9
92	0	768533	768533	2412	2412	8
4	0	4760	4760	19	19	8
10	0	28952	28952	113	113	8
45	0	185349	185349	669	669	8
28	0	148093	148093	547	547	8
3	0	517	517	2	2	8
6	0	11294	11294	43	43	8
455	0	2895672	2895672	11582	11582	7
2	0	1600	1600	7	7	7
6	0	14886	14886	58	58	7
