Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
23b.sql	215	201	10	0	122	10	8244	0	16138	0	1241862471	8314	34	33	16	32	0.0547510254602746	0.6878960051482027	2.2453352762441288
23a.sql	244	225	16	0	145	16	21440	0	39800	0	1656784747	10961	82	79	618	80	0.03827280581317016	0.7414965986394557	2.6553833797109254
22d.sql	362	194	163	1	80	157	418154	0	720439	0	7404644393	57954	207	179	46281	1440	0.0011463249897345677	0.3431661960970568	1.1343291222896967
22c.sql	270	166	99	0	53	96	226431	0	405879	0	6488821398	49650	174	157	21489	811	0.002032501790034609	0.3432020036829269	1.1323723059856647
22b.sql	230	184	42	0	82	42	65888	0	130348	0	4224521994	26552	146	132	31	261	0.006260572603662083	0.33786459280535613	1.1101470064238248
22a.sql	301	231	66	0	78	66	132077	0	244217	0	6155246034	46769	224	195	2851	488	0.0033329975894235433	0.3376171523944024	1.117050668738915
21c.sql	403	383	17	0	183	16	33125	0	58892	0	1914811849	6735	61	49	1874	118	0.009105665437033594	0.22817559672842597	1.0800374105802637
21b.sql	229	217	9	0	60	9	7587	0	14980	0	471245589	5190	31	28	38	29	0.04313114919851256	0.20296963630296966	1.2901340106473635
21a.sql	265	248	14	0	90	14	23400	0	44991	0	1234165736	2646	43	38	1410	89	0.012135241187642379	0.23954659949622167	1.0863635612869382
20c.sql	407	166	237	0	86	236	499059	0	980932	0	12830232091	59592	49	40	5406	1961	0.0015216774411749175	0.6072882607829297	2.554523679402179
20b.sql	386	372	11	0	292	11	5521	0	10968	0	64085732	1372	23	21	17	21	0.06051972764206179	0.6878960051482027	1.6882641500399764
20a.sql	414	389	22	0	244	22	37392	0	66494	0	1527013019	4601	52	47	33	132	0.016064445055976775	0.6705501957971671	2.5071395803318297
1d.sql	264	257	6	0	134	6	1131	0	2233	0	13106942	396	6	5	4	4	1.2369828378501588E-4	1.8697348267279342E-4	1.894993930989165
1c.sql	138	131	6	0	105	6	1293	0	2563	0	3771250	325	7	6	3	6	0.1705807043533802	0.9999818812482515	2.023058339688031
1b.sql	250	243	6	0	111	6	1065	0	2041	0	11556176	523	6	5	3	4	0.2238609431397423	0.8946800866842013	1.8949203426131431
1a.sql	109	101	7	0	98	7	1943	0	3602	0	1741505	964	9	7	142	7	0.22613564432585803	0.9998752775128233	2.0116024680607594
19d.sql	6944	134	6791	16	53	6365	21227134	0	38093993	0	1825049717611	3937567	2092	1564	1760645	76187	1.5215997975374747E-4	0.6811700421360684	2.8879793032921053
19c.sql	245	192	50	0	104	50	136939	0	263293	0	9228990913	70858	228	187	3575	527	0.012251167558248408	0.7973856209150327	1.720581935277821
19b.sql	371	360	8	0	282	8	1383	0	2727	0	49817509	935	7	6	15	5	0.1473107802663415	0.6878883988860062	1.7363521207411992
19a.sql	300	282	14	0	205	14	16835	0	33160	0	1403481744	9828	65	61	184	67	0.06640649405811891	0.8470149253731343	1.6888300672915608
18c.sql	407	245	159	1	120	153	468044	0	879719	0	34903243967	203435	24	16	28073	1760	0.0042442140507877955	0.8103357708721949	2.000849339147746
18b.sql	289	259	27	0	143	27	79507	0	158248	0	5226439516	74388	23	19	11	317	0.01882874464667799	0.7959183673469388	2.0058919803702144
18a.sql	424	328	94	0	94	94	195764	0	387153	0	3849604205	43661	32	19	410	774	0.007349618376920216	0.7989417989417988	2.6115314808409313
17f.sql	3802	96	3700	5	65	3555	10260086	0	20519876	0	4435231669	43391	32	22	1113120	41039	1.9468509392422655E-4	0.5904701711205776	1.9998243124297486
17e.sql	3073	7	3052	13	2	2719	6041995	0	12005194	0	2556834264	31424	135	75	2832555	24010	3.030389227720291E-4	0.4314269050308194	2.0025607520143094
17d.sql	200	51	147	0	51	146	443500	0	876840	0	66412666	75596	17	13	11538	1754	0.0022624042828417604	0.3741097935480091	1.000198883543831
17c.sql	84	55	27	0	55	26	87960	0	175667	0	9160211	11564	21	16	1918	352	0.011106519060802624	0.4287058646195547	1.000164069257956
17b.sql	2860	55	2803	1	53	2797	8238500	0	16475868	0	4435060605	43714	42	27	52306	32952	2.450996022359329E-4	0.44305955671257674	2.0004256628783597
17a.sql	942	76	863	2	58	835	2395621	0	4791160	0	1843769075	35319	25	17	258289	9583	8.260937938348819E-4	0.602708258539468	2.0000023441059387
16d.sql	623	92	527	2	54	489	1688056	0	3234164	0	30042210	872108	64	51	249455	6468	0.0012077499119090849	0.5995203836930455	1.0015320436370139
16c.sql	830	113	712	3	55	657	2282569	0	4384764	0	43649646	1178685	44	32	319932	8770	9.68706321706975E-4	0.7886435331230284	1.0014059511363549
16b.sql	6236	6	6194	34	1	5177	14232612	0	28464452	0	2320402029	1975751	43	31	3710592	56928	1.284088231569424E-4	0.5009553940337967	1.9998415059958574
16a.sql	50	17	31	0	13	30	92206	0	184171	0	537098	96167	34	24	385	369	0.016215671191456536	0.8445229681978799	1.0004117534013781
15d.sql	222	197	23	0	76	22	56151	0	90583	0	261896234	15137	52	40	11347	182	0.02676073232791537	0.8403293327025784	1.0003207557846194
15c.sql	293	278	12	0	163	11	14081	0	24428	0	149207417	4453	43	39	2271	49	0.06663748342457307	0.9342333195789952	1.0010727692460424
15b.sql	172	161	8	0	112	8	2834	0	5334	0	14724958	2928	13	12	37	11	0.1222765428689491	0.7100090814737934	1.9192950491146095
15a.sql	221	209	9	0	130	9	5965	0	11528	0	12098147	5030	25	23	328	24	0.12467483223342958	0.96000665954706	2.002679003406947
14c.sql	289	234	52	0	59	51	118419	0	216114	0	4000136170	32060	73	53	4115	432	0.003798647852175657	0.34318208743039924	1.1277188604615411
14b.sql	314	305	6	0	219	6	2218	0	4320	0	248881176	1024	10	9	1	8	0.12948848811153796	0.9027323131451179	2.032674772966938
14a.sql	470	426	41	0	297	41	87100	0	167678	0	4532588497	30797	60	45	761	336	0.006327476056415194	0.6764453813411161	1.8459061928124878
13d.sql	3696	15	3670	9	11	3543	9999820	0	17797808	0	3556282792961	1068168	677	391	670390	35596	3.0066994203087403E-4	0.7337349397590363	3.2281599305356976
13c.sql	103	95	6	0	91	6	3748	0	6983	0	663638101	309	15	14	53	13	0.17652262452492049	0.5126725464460385	2.7310777307871636
13b.sql	117	104	10	0	100	10	9633	0	17015	0	2616314155	1025	31	28	372	34	0.08015156963614505	0.680995566120348	2.706057811236439
13a.sql	1696	1	1692	1	1	1663	5014775	0	9073580	0	2718024256807	1269527	735	392	111101	18148	6.040792399008723E-4	0.8801089918256131	3.215683081724751
12c.sql	266	119	145	0	35	144	407200	0	782241	0	241498872385	310422	127	92	4711	1564	0.00450414704602756	0.4884338799552947	2.5864908144593706
12b.sql	145	137	6	0	133	6	3460	0	6731	0	59350540	332	14	14	10	13	0.2011128206313543	0.999997443369804	2.5955583663035613
12a.sql	131	85	44	0	52	44	151261	0	287050	0	91638750151	91072	146	109	397	574	0.011249564274982709	0.8934426229508197	2.527476183106728
11d.sql	279	202	75	0	55	73	371632	0	726820	0	162388772	17710	31	24	14899	1454	0.004055774420632011	0.6470588235294118	1.0002603879944918
11c.sql	497	243	252	0	98	251	1125312	0	2222299	0	350439339	14753	131	66	6946	4444	4.049218183084308E-4	0.2707420859744582	1.001242182272886
11b.sql	266	256	7	0	99	6	3588	0	6744	0	62346647	681	16	15	14	14	0.17891643168644314	0.8775600088086325	2.1087512104872674
11a.sql	235	220	13	0	72	13	24892	0	45779	0	1313272308	3067	45	34	310	92	0.011714161683106237	0.2352872176419331	1.0833737756058883
10c.sql	858	306	549	0	137	549	3791814	0	7583356	0	929885786427	3141539	105	59	10	15167	6.428513798782739E-4	0.7352941176470588	1.0841136393512643
10b.sql	315	311	3	0	149	2	311	0	587	0	333	66	3	2	0	1	0.0	-Infinity	1.0
10a.sql	196	185	10	0	124	10	13350	0	25915	0	307605503	10236	28	21	104	52	0.05000669058859885	0.7064613535107004	1.0051247204610203
