Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
9.sql,true,8749,27,1284,512,289,23,4,0,288,0,0,0,14241,0,0,0,0,979921,0.0,0.0,0.0,0,0,0,0
9.sql,true,23,0,0,0,22,0,0,0,288,0,0,0,0,0,0,0,0,979921,0.0,0.0,0.0,0,0,0,0
9.sql,false,1343,19,918,249,157,16,3,0,157,0,0,0,13504,0,0,0,0,979921,0.0,0.0,0.0,0,0,0,0
9.sql,false,13,0,0,0,13,0,0,0,157,0,0,0,0,0,0,0,0,979921,0.0,0.0,0.0,0,0,0,0
8.sql,true,596,451,135,3,7,232,219,0,7,0,0,0,1129,0,0,0,0,7644,0.0,0.0,0.0,0,0,0,0
8.sql,true,17,0,0,0,17,0,0,7,7,3,0,0,0,0,0,0,0,7644,0.0,0.0,0.0,0,0,0,0
8.sql,false,226,134,83,2,7,20,114,0,7,0,0,0,812,0,0,0,0,7644,0.0,0.0,0.0,0,0,0,0
8.sql,false,12,0,0,0,12,0,0,5,4,3,0,0,0,0,0,0,0,7644,0.0,0.0,0.0,0,0,0,0
7.sql,true,1500,1115,365,5,14,486,629,0,14,0,0,0,4192,0,0,0,0,17331,0.0,0.0,0.0,0,0,0,0
7.sql,true,2,1,0,0,1,1,0,0,14,0,0,0,0,0,0,0,0,17331,0.0,0.0,0.0,0,0,0,0
7.sql,false,756,433,308,3,12,129,304,0,12,0,0,0,3631,0,0,0,0,17331,0.0,0.0,0.0,0,0,0,0
7.sql,false,1,1,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,17331,0.0,0.0,0.0,0,0,0,0
6.sql,true,144,85,0,0,59,85,0,0,59,0,0,0,0,0,0,0,0,342464,0.0,0.0,0.0,0,0,0,0
6.sql,false,158,84,0,0,74,84,0,0,74,0,0,0,0,0,0,0,0,342464,0.0,0.0,0.0,0,0,0,0
5.sql,true,1706,49,1652,4,1,10,39,0,0,0,0,0,18596,0,0,0,0,22028,0.0,0.0,0.0,0,0,0,0
5.sql,false,1476,49,1420,6,1,10,39,0,0,0,0,0,20705,0,0,0,0,22028,0.0,0.0,0.0,0,0,0,0
4.sql,true,193,5,155,30,2,4,1,0,0,0,0,0,372,0,0,0,0,158414,0.0,0.0,0.0,0,0,0,0
4.sql,false,92,5,58,28,1,3,2,0,0,0,0,0,378,0,0,0,0,158414,0.0,0.0,0.0,0,0,0,0
3.sql,true,726,480,168,22,55,241,239,0,0,0,0,0,1693,0,0,0,0,90026,0.0,0.0,0.0,0,0,0,0
3.sql,false,926,710,171,15,30,461,249,0,0,0,0,0,1688,0,0,0,0,90026,0.0,0.0,0.0,0,0,0,0
21.sql,true,1182,807,371,2,2,150,657,0,0,0,0,0,2065,0,0,0,0,12426,0.0,0.0,0.0,0,0,0,0
21.sql,false,1115,803,307,3,2,149,654,0,0,0,0,0,2080,0,0,0,0,12426,0.0,0.0,0.0,0,0,0,0
