Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
9.sql,true,7859,16,605,284,287,12,4,0,287,0,0,0,1685,0,0,0,0,979921,0.0,0.0,0.0,0,0,0,0
9.sql,true,16,0,0,0,15,0,0,0,287,0,0,0,0,0,0,0,0,979921,0.0,0.0,0.0,0,0,0,0
9.sql,false,662,9,324,137,192,6,3,0,192,0,0,0,1677,0,0,0,0,979921,0.0,0.0,0.0,0,0,0,0
9.sql,false,5,0,0,0,4,0,0,0,192,0,0,0,0,0,0,0,0,979921,0.0,0.0,0.0,0,0,0,0
8.sql,true,663,511,142,2,8,289,222,0,8,0,0,0,147,0,0,0,0,7644,0.0,0.0,0.0,0,0,0,0
8.sql,true,17,0,0,0,17,0,0,7,7,3,0,0,0,0,0,0,0,7644,0.0,0.0,0.0,0,0,0,0
8.sql,false,297,270,17,3,7,104,166,0,7,0,0,0,215,0,0,0,0,7644,0.0,0.0,0.0,0,0,0,0
8.sql,false,12,0,0,0,12,0,0,6,3,3,0,0,0,0,0,0,0,7644,0.0,0.0,0.0,0,0,0,0
7.sql,true,1092,863,211,4,13,387,476,0,13,0,0,0,473,0,0,0,0,17331,0.0,0.0,0.0,0,0,0,0
7.sql,true,2,0,0,0,2,0,0,0,13,0,0,0,0,0,0,0,0,17331,0.0,0.0,0.0,0,0,0,0
7.sql,false,360,283,53,4,20,124,159,0,20,0,0,0,471,0,0,0,0,17331,0.0,0.0,0.0,0,0,0,0
7.sql,false,2,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,0,17331,0.0,0.0,0.0,0,0,0,0
6.sql,true,108,61,0,0,47,61,0,0,47,0,0,0,0,0,0,0,0,342464,0.0,0.0,0.0,0,0,0,0
6.sql,false,143,59,0,0,84,59,0,0,84,0,0,0,0,0,0,0,0,342464,0.0,0.0,0.0,0,0,0,0
5.sql,true,279,26,247,5,1,10,16,0,0,0,0,0,2619,0,0,0,0,22028,0.0,0.0,0.0,0,0,0,0
5.sql,false,211,26,178,5,2,10,16,0,0,0,0,0,2289,0,0,0,0,22028,0.0,0.0,0.0,0,0,0,0
4.sql,true,250,5,222,20,2,3,2,0,0,0,0,0,67,0,0,0,0,158414,0.0,0.0,0.0,0,0,0,0
4.sql,false,33,5,12,14,2,4,1,0,0,0,0,0,64,0,0,0,0,158414,0.0,0.0,0.0,0,0,0,0
3.sql,true,636,549,22,10,55,367,182,0,0,0,0,0,198,0,0,0,0,90026,0.0,0.0,0.0,0,0,0,0
3.sql,false,450,391,21,11,27,210,181,0,0,0,0,0,197,0,0,0,0,90026,0.0,0.0,0.0,0,0,0,0
21.sql,true,635,453,176,2,4,115,338,0,0,0,0,0,332,0,0,0,0,12426,0.0,0.0,0.0,0,0,0,0
21.sql,false,499,441,51,4,3,114,327,0,0,0,0,0,331,0,0,0,0,12426,0.0,0.0,0.0,0,0,0,0
20.sql,true,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6491,0.0,0.0,0.0,0,0,0,0
20.sql,true,152,38,0,0,114,38,0,0,0,0,0,0,0,0,0,0,0,2733944,0.0,0.0,0.0,0,0,0,0
20.sql,true,421,369,49,3,0,1,368,0,0,0,0,0,797,0,0,0,0,17538,0.0,0.0,0.0,0,0,0,0
20.sql,true,6,3,2,0,1,1,2,0,0,0,1,0,11,0,0,0,0,557,0.0,0.0,0.0,0,0,0,0
20.sql,false,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6491,0.0,0.0,0.0,0,0,0,0
20.sql,false,136,39,0,0,97,39,0,0,0,0,0,0,0,0,0,0,0,2733944,0.0,0.0,0.0,0,0,0,0
20.sql,false,392,337,53,2,0,0,337,0,0,0,0,0,861,0,0,0,0,17538,0.0,0.0,0.0,0,0,0,0
20.sql,false,5,3,1,1,0,1,2,0,0,0,0,0,1,0,0,0,0,557,0.0,0.0,0.0,0,0,0,0
2.sql,true,139,1,26,97,15,1,0,0,0,0,0,0,162,0,0,0,0,478400,0.0,0.0,0.0,0,0,0,0
2.sql,true,135,63,60,11,1,4,59,0,0,0,1,0,18,0,0,0,0,1419,0.0,0.0,0.0,0,0,0,0
2.sql,false,137,2,45,77,13,1,1,0,0,0,0,0,107,0,0,0,0,478400,0.0,0.0,0.0,0,0,0,0
2.sql,false,96,62,31,1,2,4,58,0,0,0,2,0,21,0,0,0,0,1419,0.0,0.0,0.0,0,0,0,0
19.sql,true,1257,1060,195,2,0,119,941,0,0,0,0,0,293,0,0,0,0,364,0.0,0.0,0.0,0,0,0,0
19.sql,false,667,643,23,0,1,111,532,0,1,0,0,0,280,0,0,0,0,364,0.0,0.0,0.0,0,0,0,0
18.sql,true,130,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0,0,17996609,0.0,0.0,0.0,0,0,0,0
18.sql,true,75,1,70,1,3,1,0,0,0,0,0,0,1849,0,0,0,0,1253,0.0,0.0,0.0,0,0,0,0
18.sql,false,127,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,17996609,0.0,0.0,0.0,0,0,0,0
18.sql,false,73,0,69,1,3,0,0,0,0,0,0,0,1843,0,0,0,0,1253,0.0,0.0,0.0,0,0,0,0
17.sql,true,109,0,0,0,108,0,0,0,108,0,0,0,0,0,0,0,0,17996609,0.0,0.0,0.0,0,0,0,0
17.sql,true,79,64,13,2,0,2,62,0,0,0,0,0,223,0,0,0,0,1632,0.0,0.0,0.0,0,0,0,0
17.sql,false,15,0,0,0,15,0,0,0,15,0,0,0,0,0,0,0,0,17996609,0.0,0.0,0.0,0,0,0,0
17.sql,false,71,67,3,0,1,4,63,0,1,0,0,0,12,0,0,0,0,1632,0.0,0.0,0.0,0,0,0,0
16.sql,true,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0,0,0,0
16.sql,true,25,6,13,2,4,6,0,0,0,0,0,0,49,0,0,0,0,11997,0.0,0.0,0.0,0,0,0,0
16.sql,false,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,15,0.0,0.0,0.0,0,0,0,0
16.sql,false,14,6,2,2,4,6,0,0,0,0,0,0,17,0,0,0,0,11997,0.0,0.0,0.0,0,0,0,0
14.sql,true,196,12,9,25,150,6,6,0,150,0,0,0,101,0,0,0,0,224637,0.0,0.0,0.0,0,0,0,0
14.sql,false,121,12,9,23,77,6,6,0,77,0,0,0,104,0,0,0,0,224637,0.0,0.0,0.0,0,0,0,0
12.sql,true,133,59,6,10,58,57,2,2,45,11,0,0,44,0,0,0,0,93144,0.0,0.0,0.0,0,0,0,0
12.sql,false,134,57,5,11,61,56,1,3,47,11,0,0,42,0,0,0,0,93144,0.0,0.0,0.0,0,0,0,0
11.sql,true,39,1,7,9,21,1,0,0,21,0,0,0,141,0,0,0,0,95680,0.0,0.0,0.0,0,0,0,0
11.sql,true,22,1,5,10,6,1,0,0,21,0,0,0,24,0,0,0,0,95680,0.0,0.0,0.0,0,0,0,0
11.sql,false,37,1,4,11,21,1,0,0,21,0,0,0,21,0,0,0,0,95680,0.0,0.0,0.0,0,0,0,0
11.sql,false,30,1,6,18,5,1,0,0,21,0,0,0,54,0,0,0,0,95680,0.0,0.0,0.0,0,0,0,0
10.sql,true,381,158,23,55,145,83,75,0,0,0,0,0,234,0,0,0,0,344528,0.0,0.0,0.0,0,0,0,0
10.sql,false,360,156,25,41,138,82,74,0,0,0,0,0,240,0,0,0,0,344528,0.0,0.0,0.0,0,0,0,0
1.sql,true,585,497,0,0,88,497,0,0,0,0,0,0,0,0,0,0,0,17743537,0.0,0.0,0.0,0,0,0,0
1.sql,false,1541,1453,0,0,88,1453,0,0,0,0,0,0,0,0,0,0,0,17743537,0.0,0.0,0.0,0,0,0,0
