Query,IsWarmup,Millis,PreMillis,JoinMillis,MatMillis,PostMillis,FilterMillis,IndexMillis,GroupByMillis,AggregateMillis,HavingMillis,OrderMillis,Tuples,Samples,Lookups,NrIndexEntries,nrUniqueLookups,NrPlans,JoinCard,AvgReward,MaxReward,TotalWork,DataSize,UctSize,StateSize,JoinSize
9d.sql,true,1553,516,967,214,46,0,0,0,0,0,0,0,16822,0,0,0,0,483082,0.028939880938410916,0.35863035697777834,1.0,0,0,0,0
9c.sql,true,365,318,41,2,0,0,0,0,0,0,0,0,449,0,0,0,0,8144,0.02489672762504156,0.340630762902335,1.0,0,0,0,0
9b.sql,true,274,264,4,0,0,0,0,0,0,0,0,0,42,0,0,0,0,40,0.04954812694221694,0.35400565247413907,1.0,0,0,0,0
9a.sql,true,384,373,5,1,0,0,0,0,0,0,0,0,56,0,0,0,0,121,0.04349566325473012,0.4565538340440214,1.0,0,0,0,0
8d.sql,true,519,36,478,85,3,0,0,0,0,0,0,0,10004,0,0,0,0,323005,0.03229219633310208,0.40160249372240553,1.0,0,0,0,0
8c.sql,true,4725,37,4664,856,22,0,0,0,0,0,0,0,100005,0,0,0,0,2487611,0.024835658802364942,0.35888963187487627,1.0,0,0,0,0
8b.sql,true,435,428,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0.08413797833925844,0.42712034369049545,1.0,0,0,0,0
8a.sql,true,155,148,4,0,0,0,0,0,0,0,0,0,114,0,0,0,0,62,0.02460520068365123,0.4448398576512455,1.0,0,0,0,0
7c.sql,true,868,377,484,13,0,0,0,0,0,0,0,0,12793,0,0,0,0,68185,0.006273787878243733,0.2742382271468144,1.0,0,0,0,0
7b.sql,true,211,205,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,16,0.02447060916295687,0.326897540346949,1.0,0,0,0,0
7a.sql,true,330,321,5,0,0,0,0,0,0,0,0,0,71,0,0,0,0,32,0.019864159102107187,0.19803750378003962,1.0,0,0,0,0
6f.sql,true,1043,171,858,233,11,0,0,0,0,0,0,0,6589,0,0,0,0,785477,0.11911629178487534,0.16100000000000328,1.0,0,0,0,0
6e.sql,true,189,185,2,0,0,0,0,0,0,0,0,0,36,0,0,0,0,6,0.015311908922842168,0.24999742573639694,1.0,0,0,0,0
6d.sql,true,233,219,11,0,0,0,0,0,0,0,0,0,124,0,0,0,0,88,0.003113272691846644,0.2754220646364455,1.0,0,0,0,0
6c.sql,true,55,53,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0.004056416628543196,0.016218768862534764,1.0,0,0,0,0
6b.sql,true,62,57,2,0,0,0,0,0,0,0,0,0,31,0,0,0,0,12,0.04283812057697501,0.23816088403767288,1.0,0,0,0,0
6a.sql,true,100,95,1,0,0,0,0,0,0,0,0,0,23,0,0,0,0,6,0.03861164717282519,0.3157421668594808,1.0,0,0,0,0
5c.sql,true,379,374,1,0,0,0,0,0,0,0,0,0,21,0,0,0,0,669,0.10780398175816189,0.5398216075122648,1.0,0,0,0,0
5b.sql,true,216,212,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.4617046156674307E-4,2.9234092313348614E-4,1.0,0,0,0,0
5a.sql,true,314,311,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,8.079928295424888E-5,1.2340559965248982E-4,1.0,0,0,0,0
4c.sql,true,302,284,16,1,0,0,0,0,0,0,0,0,190,0,0,0,0,4700,0.027432095395484496,0.20685243734887282,1.0,0,0,0,0
4b.sql,true,71,68,1,0,0,0,0,0,0,0,0,0,18,0,0,0,0,6,0.028225518564822243,0.15093898788333981,1.0,0,0,0,0
4a.sql,true,204,192,10,1,0,0,0,0,0,0,0,0,112,0,0,0,0,740,0.01076484624853207,0.1444876485523499,1.0,0,0,0,0
3c.sql,true,298,281,14,1,0,0,0,0,0,0,0,0,151,0,0,0,0,7250,0.05108819002730764,0.1967987714826169,1.0,0,0,0,0
3b.sql,true,76,73,2,0,0,0,0,0,0,0,0,0,23,0,0,0,0,5,0.047917578808726276,0.25641025641025644,1.0,0,0,0,0
3a.sql,true,184,174,8,0,0,0,0,0,0,0,0,0,95,0,0,0,0,206,0.006458960885065465,0.10770697853845747,1.0,0,0,0,0
33c.sql,true,184,145,31,0,1,0,0,0,0,0,0,0,361,0,0,0,0,114,0.008894755301536326,0.23021017481830683,1.0,0,0,0,0
33b.sql,true,141,118,17,1,0,0,0,0,0,0,0,0,138,0,0,0,0,4,0.007430559240019281,0.0589145376379419,1.0,0,0,0,0
33a.sql,true,137,124,6,1,0,0,0,0,0,0,0,0,52,0,0,0,0,8,0.009961323524248287,0.06529352901934622,1.0,0,0,0,0
32b.sql,true,47,21,24,1,0,0,0,0,0,0,0,0,579,0,0,0,0,4388,0.012478089070836609,0.25,1.0,0,0,0,0
32a.sql,true,14,12,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2.5250657341593945E-5,3.69819284098124E-5,1.0,0,0,0,0
31c.sql,true,306,272,24,1,0,0,0,0,0,0,0,0,543,0,0,0,0,2825,0.006562085766387426,0.18972530265219503,1.0,0,0,0,0
31b.sql,true,457,440,5,0,0,0,0,0,0,0,0,0,64,0,0,0,0,84,0.020478612997990843,0.40270655776401104,1.0,0,0,0,0
31a.sql,true,534,369,156,0,0,0,0,0,0,0,0,0,2769,0,0,0,0,1273,0.001931295802639481,0.2655916732107156,1.0,0,0,0,0
30c.sql,true,1819,1708,100,3,0,0,0,0,0,0,0,0,1376,0,0,0,0,8024,0.006618027767416615,0.025285346791687466,1.0,0,0,0,0
30b.sql,true,549,532,5,0,0,0,0,0,0,0,0,0,49,0,0,0,0,28,0.028299633453395777,0.30416394666056135,1.0,0,0,0,0
30a.sql,true,549,445,94,1,0,0,0,0,0,0,0,0,1288,0,0,0,0,757,0.0013632258067981008,0.014029557915617752,1.0,0,0,0,0
2d.sql,true,147,47,99,10,0,0,0,0,0,0,0,0,1369,0,0,0,0,68316,0.05211606284265959,0.37241113816189897,1.0,0,0,0,0
2c.sql,true,47,46,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1.2217095411116784E-4,6.580632305292759E-4,1.0,0,0,0,0
2b.sql,true,105,35,69,1,0,0,0,0,0,0,0,0,1226,0,0,0,0,5228,0.006901241664613088,0.42580269069214316,1.0,0,0,0,0
2a.sql,true,94,42,51,0,0,0,0,0,0,0,0,0,1052,0,0,0,0,7834,0.010298844635675724,0.2212845890200716,1.0,0,0,0,0
29c.sql,true,363,298,47,4,1,0,0,0,0,0,0,0,626,0,0,0,0,16308,0.04180303594691472,0.34060494039409295,1.0,0,0,0,0
29b.sql,true,225,180,31,0,0,0,0,0,0,0,0,0,276,0,0,0,0,15,0.014227912015593943,0.34229462693054646,1.0,0,0,0,0
29a.sql,true,286,239,31,1,0,0,0,0,0,0,0,0,277,0,0,0,0,1620,0.05298922412732055,0.3422884539002554,1.0,0,0,0,0
28c.sql,true,519,360,145,2,0,0,0,0,0,0,0,0,2392,0,0,0,0,8373,0.005571987211184237,0.37126124723776616,1.0,0,0,0,0
28b.sql,true,313,267,35,0,0,0,0,0,0,0,0,0,363,0,0,0,0,148,0.0051262887880982825,0.3333987402105141,1.0,0,0,0,0
28a.sql,true,454,353,88,1,0,0,0,0,0,0,0,0,1150,0,0,0,0,4803,0.005979725855962051,0.3335742301480667,1.0,0,0,0,0
27c.sql,true,362,345,7,0,0,0,0,0,0,0,0,0,86,0,0,0,0,743,0.016901942497134694,0.09002621143894078,1.0,0,0,0,0
