Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
9d.sql	2380	567	1730	47	476	1542	2359811	0	4401103	0	76284270071	442340	56	42	483082	8802	8.164415408474344E-4	0.6812614865067003	2.000337843421279
9c.sql	476	371	96	1	296	95	150795	0	288819	0	9421507889	69375	110	90	8144	578	0.011128218285630315	0.7724358974358974	1.7212121726095753
9b.sql	599	563	27	0	463	26	12719	0	25320	0	922380289	7263	42	37	40	50	0.07177847839469108	0.6878467555799709	1.695590105272474
9a.sql	753	605	140	0	415	139	16586	0	32681	0	1376171635	9849	49	43	121	65	0.061453814892592135	0.6815270030214058	1.6881977381618485
8d.sql	1764	12	1735	3	8	1630	2264366	0	4376812	0	76419067839	540292	51	33	323005	8753	9.411975744561511E-5	0.7872042284804165	1.7949418824793755
8c.sql	27846	7	27814	22	3	27033	30799873	0	59979315	0	5797260826387	6207073	97	56	2487611	119959	8.55964776026518E-5	0.7575757575757576	1.725160476277662
8b.sql	1197	1145	43	0	1137	42	637	0	1266	0	10102	265	4	3	6	2	0.005977715078188514	0.011955430156377027	1.0119076084357514
8a.sql	310	279	25	0	269	25	37557	0	75071	0	1217948905	1930	18	16	62	150	0.0392480720240402	0.6260485651214128	2.013020834416375
7c.sql	2201	799	1395	1	569	1383	2033373	0	3924092	0	368965260	766755	33	29	68185	7848	0.0010158038674792454	0.5366696012106805	1.00063950269372
7b.sql	410	397	10	0	231	10	2451	0	4815	0	199717	1246	11	10	16	9	0.03718619374844573	0.3195753311530391	1.0081580842184825
7a.sql	553	526	22	0	323	22	20827	0	41371	0	9467552	4746	27	22	32	83	0.031321183786002724	0.4189476804499827	1.94301729659499
6f.sql	1886	210	1662	11	73	1248	1622724	0	3216546	0	467639408	669	14	7	785477	6433	2.84614414113546E-4	0.056689106493343924	1.0000271880862086
6e.sql	396	384	9	1	180	9	2741	0	5479	0	864184	239	11	7	6	11	0.17518028751802728	0.5772129693076266	1.920511921127082
6d.sql	212	196	13	0	105	12	10030	0	19969	0	2650812	486	15	7	88	40	0.019800818737607837	0.5428422120638902	1.0000205999534872
6c.sql	106	96	8	0	96	8	2014	0	4024	0	484743	53	10	6	2	9	0.15233340669058623	0.5428460782736197	1.5767212067490255
6b.sql	100	88	8	0	87	7	1734	0	3452	0	264458	49	9	6	12	7	0.09287405771667505	0.542842868610735	1.102801636704274
6a.sql	201	188	10	1	127	10	2761	0	5520	0	910882	9	12	7	6	12	0.14520388741147214	0.6254843336861704	1.9203827400408804
5c.sql	672	659	9	0	345	9	4052	0	8100	0	19320827	1694	11	7	669	16	0.20884019196190787	0.9976098503955935	2.017897762549197
5b.sql	471	461	7	0	297	7	251	0	502	0	327	110	3	2	0	1	0.0	-Infinity	1.0
5a.sql	390	379	7	1	297	7	752	0	1502	0	13454496	492	5	4	0	3	0.008935201438213513	0.026558793115335558	1.0179449389987556
4c.sql	574	539	33	0	105	31	35974	0	66886	0	166748868	9313	14	7	4700	134	0.007631675860594479	0.3020997212529325	1.0005135698416405
4b.sql	97	88	7	0	56	7	2921	0	5671	0	2928949	338	10	7	6	12	0.12851030626126023	0.5813238059015431	1.8651464460996037
4a.sql	359	338	19	0	115	18	19121	0	37254	0	157065202	5007	14	7	740	74	0.009494360170764818	0.23004723080279715	1.0006376838441033
3c.sql	573	543	27	0	301	25	29882	0	58656	0	113303959	14628	10	5	7250	118	0.009593152211057365	0.4129294556588192	1.0003464191031886
3b.sql	118	111	6	0	85	6	5674	0	11340	0	3029973	924	11	6	5	22	0.09411268007099528	0.5	1.0006896811686918
3a.sql	502	340	160	0	220	160	376718	0	753115	0	89819433	75351	13	6	206	1507	0.004866419519165281	0.8994413407821229	1.0002376809269296
33c.sql	307	269	31	0	79	30	24937	0	47476	0	20546708	4342	96	95	114	94	0.010680548130606102	0.09439405055692657	1.0037305279087885
33b.sql	260	231	23	0	63	23	11990	0	23556	0	63534589	9907	49	48	4	47	0.027557921996165517	0.10155279759611813	1.7463965380221134
33a.sql	424	382	36	0	107	36	37928	0	75052	0	686666388	27228	92	80	8	151	0.034877681003640575	0.9174983366600133	2.003302168239496
32b.sql	134	1	132	0	1	130	429712	0	852187	0	121289384	44410	52	25	4388	1704	0.0036206776165976003	0.5271317829457365	1.2291963825917827
32a.sql	5	0	3	0	0	3	503	0	1006	0	194	225	4	3	0	2	4.3434548463546245E-5	8.686909692709249E-5	1.0000862235357029
