Query	Millis	PreMillis	JoinMillis	PostMillis	PreNoIndexMillis	JoinNoMatMillis	Tuples	nrFbacks	Iterations	Lookups	NrIndexEntries	nrUniqueLookups	NrUctNodes	NrPlans	JoinCard	NrSamples	AvgReward	MaxReward	TotalWork
18a.sql	940	858	79	0	238	78	152484	0	303100	0	3828418384	29125	55	31	410	606	0.009358006482906935	0.7978863537831723	2.61151466217808
17f.sql	6959	129	6824	4	99	6715	16304782	0	32539128	0	2938317934	2218282	31	22	1113120	65079	1.481077271025527E-4	0.8833922261484098	1.0002478594988982
17e.sql	6964	7	6944	11	3	6392	14620431	0	29237195	0	2329535009	557658	123	70	2832555	58474	1.4010196737082432E-4	0.4430595569012412	2.00294850471539
17d.sql	347	115	230	1	115	230	707946	0	1405724	0	37302567	39876	18	14	11538	2812	0.001488023441231604	0.5827428871076076	1.0001742010586323
17c.sql	133	93	38	0	93	37	89344	0	178425	0	8713717	11703	28	19	1918	356	0.009834506087723351	0.11819030360567212	1.0001546918977455
17b.sql	1067	108	958	0	106	954	1241706	0	2442293	0	1884471186	11734	38	29	52306	4884	0.0014912257744958196	0.47779239064398016	2.0002989036857395
17a.sql	1535	109	1423	2	93	1400	2179268	0	4189359	0	1914566211	54456	19	14	258289	8378	8.702075124943304E-4	0.4260232918701067	1.9996398658934589
16d.sql	1841	102	1734	3	59	1688	5278065	0	10411575	0	79430447	1007413	127	82	249455	20824	4.6624923527930376E-4	0.9259259259259259	1.0032053295388377
16c.sql	1806	171	1630	3	81	1578	3624436	0	7121560	0	72542959	1524469	47	30	319932	14243	5.765238041750027E-4	0.639386189258312	1.0012770500385375
16b.sql	10849	6	10812	29	3	10312	22653967	0	45149491	0	2502102406	1871823	221	149	3710592	90299	9.285283329828768E-5	0.4429373132256106	2.174327576034733
16a.sql	140	86	52	0	82	52	100811	0	201467	0	276273	79714	25	19	385	403	0.01420471854654481	0.6531250000000001	1.0002471672186313
15d.sql	332	287	41	0	112	40	58268	0	105215	0	359016743	36584	56	39	11347	211	0.020016004633621125	0.29957567976810406	1.9887982329814349
15c.sql	440	414	23	0	206	22	23666	0	44173	0	229642976	14508	49	42	2271	88	0.040297737220742584	0.9131282456561421	1.0002595327474018
15b.sql	410	394	12	0	334	12	3381	0	6353	0	3408149	3409	14	13	37	12	0.057332215088665726	0.43403116376537954	1.7722479841139451
15a.sql	384	364	17	0	250	17	8321	0	15200	0	14134335	7353	32	31	328	30	0.10480041602129002	0.933384721980403	1.0010079773790097
14c.sql	452	378	70	0	157	69	117131	0	214407	0	3686460220	33537	89	56	4115	429	0.003823527608395226	0.3196828135145953	1.1271522082223908
14b.sql	737	724	8	0	610	8	2184	0	4255	0	203057821	965	10	9	1	8	0.07069209410506525	0.432967032967033	1.5623252531751544
14a.sql	664	590	71	0	341	70	88892	0	168543	0	4435078492	29285	86	53	761	338	0.0062839626985350975	0.6761311602520346	1.8443166559223434
13d.sql	5034	7	5016	8	3	4896	10322111	0	18539664	0	3669178760739	1319917	674	395	670390	37080	2.835907289216858E-4	0.7992277992277992	3.196020234495544
13c.sql	401	385	11	0	381	11	5024	0	9274	0	2356526632	675	20	19	53	18	0.13282138493750184	0.669134655721891	1.7856110300949881
13b.sql	281	260	18	0	256	17	14359	0	25609	0	5345767453	1530	40	31	372	51	0.05735161247058767	0.6705657153585787	2.7165488586232662
13a.sql	2183	1	2177	2	1	2148	4440177	0	8351204	0	2636026846131	513954	550	291	111101	16703	6.271076238663633E-4	0.7894073139974779	3.180252640991217
12c.sql	373	163	207	0	76	205	561454	0	1043462	0	233952052620	402601	110	83	4711	2087	0.003985605042946456	0.7067664647850951	1.5907530393209095
12b.sql	392	379	10	0	375	10	2974	0	5723	0	347881974	482	13	12	10	11	0.3154322558929066	0.9999931621319604	2.626802146855391
12a.sql	109	80	27	0	42	27	37999	0	74740	0	20844939348	32668	79	53	397	149	0.028390926363900493	0.5277158859513177	2.4873748197983807
11d.sql	592	482	108	0	137	105	372583	0	729075	0	53670303	17777	30	25	14899	1458	0.003835268295945037	0.3829788754749666	1.0002539760440616
11c.sql	701	529	169	0	165	168	532078	0	1023720	0	479466162	21629	192	103	6946	2048	0.0010997682004415745	0.2528045300029098	1.2445673113857183
11b.sql	776	766	7	0	238	7	1930	0	3747	0	263279084	165	9	8	14	7	0.04112886231336923	0.21008767543421009	1.0777757554116498
11a.sql	478	457	18	0	117	18	21657	0	39859	0	1322497336	2906	55	42	310	79	0.013640517074407383	0.11878267864324978	1.0839358654898779
10c.sql	1482	691	790	0	308	790	3791614	0	7582856	0	929819320704	3141672	138	63	10	15166	6.428844804107578E-4	0.7352941176470588	1.0839731187656907
10b.sql	590	583	5	0	215	5	1009	0	2002	0	317287669	282	6	5	0	4	5.0745839101621224E-5	1.247005271558039E-4	1.0001780448990516
10a.sql	340	318	20	0	244	20	25248	0	45948	0	308095645	10990	16	11	104	91	0.02976271103803848	0.5150114271433957	1.007261737309385
